Image	Name	Missing	Centroid.X.um	Centroid.Y.um
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	G-11	FALSE	5293.2	9468.6
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	G-10	FALSE	6742	9563.7
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	G-9	FALSE	8265.2	9538.7
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	G-8	FALSE	9688.5	9813.4
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	G-7	FALSE	11011.6	9638.6
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	G-6	FALSE	12510.2	9788.4
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	G-5	FALSE	14016.1	9686.2
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	G-4	FALSE	15456.7	9938.3
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	G-3	FALSE	16855.1	9838.4
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	G-2	FALSE	18328.3	10063.1
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	G-1	FALSE	19776.6	10063.1
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	F-13	FALSE	2459.1	11133.1
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	F-12	FALSE	3818.7	11046.4
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	F-11	FALSE	5180.2	11015.8
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	F-10	FALSE	6667.1	11037
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	F-9	FALSE	8150.7	11240
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	F-8	FALSE	9488.1	11177.2
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	F-7	FALSE	10987	11336.6
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	F-6	FALSE	12410.3	11274
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	F-5	FALSE	13938	11383.1
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	F-4	FALSE	15356.9	11311.6
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	F-3	FALSE	16830.1	11486.4
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	F-2	FALSE	18303.4	11486.4
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	F-1	FALSE	19751.7	11611.3
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	E-13	FALSE	2366.8	12627.2
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	E-12	FALSE	3749.7	12667.2
