Image	Name	Missing	Centroid.X.um	Centroid.Y.um
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	G-10	FALSE	6317.5	9888.3
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	G-9	FALSE	7840.7	9813.4
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	G-8	FALSE	9579.1	10026.3
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	G-7	FALSE	10937.1	9838.4
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	G-6	FALSE	12492	9930.3
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	G-5	FALSE	14108.3	9838.4
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	G-4	FALSE	15631.5	9963.2
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	G-3	FALSE	17179.7	9888.3
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	G-2	FALSE	18677.9	10013.2
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	G-1	FALSE	20226.1	9913.3
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	F-13	FALSE	1703.1	11384.2
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	F-10	FALSE	6192.7	11411.5
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	F-9	FALSE	7883.9	11461
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	F-8	FALSE	9406.2	11481.8
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	F-7	FALSE	10887.1	11561.3
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	F-6	FALSE	12460.3	11436.5
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	F-5	FALSE	14033.4	11561.3
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	F-4	FALSE	15581.6	11411.5
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	F-3	FALSE	17154.7	11586.3
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	F-2	FALSE	18727.9	11411.5
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	F-1	FALSE	20251.1	11511.4
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	E-13	FALSE	1598.1	12834.8
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	E-12	FALSE	3146.3	12984.7
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	E-11	FALSE	4769.4	12784.9
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	E-10	FALSE	6292.6	12984.7
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	E-9	FALSE	7845.2	12941
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	E-8	FALSE	9413.9	13059.6
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	E-7	FALSE	10937.1	12984.7
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	E-6	FALSE	12485.2	13084.5
