TMA.core,Ki67_density,GATA3_density,CK20_density,CK56_density,CyclinD1_density,P16_density,P53_density,P63_density,Her2Neu_density,Ki67_P53.AUC,Ki67_Cyclin.AUC,P53_Cyclin.AUC,CK20_CK56.AUC,Her2Neu_GATA3.AUC,P63_GATA3.AUC,P63_Her2Neu.AUC,P53_Ki67.AUC,Cyclin.Ki67.AUC,Cyclin_P53.AUC,CK56_CK20.AUC,GATA3_Her2Neu.AUC,GATA3_P63.AUC,Her2Neu_P63.AUC
A-2,22507.93577,20921.75116,17.4459101,30.58168954,758.7310685,25038.4241,2176.026747,1658.26035,5602.641315,8772.711818,5784.255478,14092.04525,0,12693.06415,9214.522148,9043.855494,389.6764744,-2600.450489,5707.322434,0,4321.135618,808.5367499,651.0742746
J-4,2361.801377,22028.56393,6279.366028,19.70998536,12840.32841,7181.32147,509.6128902,20787.73081,6727.39628,10190.41029,10596.09825,9651.583244,10568.79087,10164.00941,11068.35698,9738.66823,1812.725159,2225.617888,1305.472266,2191.105743,1793.930119,2708.456122,1362.186683
A-4,24651.29447,24567.55857,0,0,577.8997043,26242.42323,13107.85794,269.6392007,3639.916001,8747.495289,6803.223166,7390.786963,0,9043.054038,8905.539232,5743.539123,362.2197544,-1566.675302,-961.4215108,0,651.1779598,545.0442958,-2634.146007
L-3,3422.72972,19225.29637,5490.418441,4741.51178,15902.05393,293.6664327,112.0365873,17196.89657,2833.208978,11527.44369,10460.29461,12062.53775,12748.49117,14140.5088,13428.67307,12665.33438,3209.152273,2109.263524,3664.604714,4401.29304,5804.547328,5080.024697,4306.846791
G-2,619.1783817,118.7605294,0,8606.042067,8478.540591,12951.53708,7965.30403,11010.67033,472.9321806,14798.02692,13673.23529,13726.17916,0,11482.07711,12013.02407,10657.58859,6539.384223,5286.820688,5363.38548,0,3465.110263,3635.751292,2309.289243
E-10,171.4131466,22186.93142,0,7472.024411,7739.951039,499.0067279,1762.0647,21339.5019,729.0628428,18155.58042,13803.3721,29053.8801,0,13125.89369,12003.95992,7491.819923,9777.895289,5415.95615,20726.67339,0,4711.417487,3629.201554,-914.7550167
F-7,13705.55033,181.188665,0,5563.755517,2470.51898,0,3103.115351,3721.560881,234.5693363,10127.95785,9199.668632,10749.87955,0,89784.40996,5021.306349,4247.146229,1760.197426,840.3337084,2340.630015,0,81406.72483,-3356.37878,-4130.538901
H-1,0,7.428388569,0,7.57622932,16.08909136,0,0,3.78934429,0,0,0,0,0,0,0,0,0,0,0,0,0,-8377.685129,0
H-4,7421.790456,17304.79233,10344.55135,2712.07173,1435.26178,13667.57215,12609.20899,6219.057312,11391.72522,11063.62327,4723.806877,3530.308686,8776.651777,10846.99137,9248.859436,9148.498894,2668.74216,-3680.314599,-4841.119508,356.5230203,2470.859805,886.9659193,787.8517767
E-5,206.8935492,665.1681817,0,3.798956088,586.1477661,0,0,31.10846759,0,0,14692.52004,0,0,0,10597.94559,0,0,6314.834911,0,0,0,2220.260459,0
J-3,835.0115095,18482.02901,1758.713041,79.22868957,12754.01416,9344.270518,476.023588,17073.3473,7126.813879,17983.44629,11347.40965,11287.87564,25646.90854,10728.87796,9739.35531,9575.300412,9605.76116,2955.370084,2945.504433,19013.02924,2366.163905,1351.299895,1193.865671
K-3,15312.08065,9902.208327,815.2837664,9975.665491,2850.473594,17904.05542,8171.082174,10576.1055,5582.480458,11078.06759,7224.05631,6833.708498,9189.205219,13161.44286,8716.051481,9621.955283,2710.448223,-1161.955485,-1552.885557,819.4035169,4794.127945,353.8557712,1248.252259
E-9,89.94742384,726.6350642,0,3.742590006,816.5565917,0,0,200.5499305,37.01029166,0,13497.27325,0,0,0,18167.58409,0,0,5119.588122,0,0,-8377.685129,9789.898964,-8377.685129
F-6,3661.432294,106.2600006,0,9567.84199,4306.675837,0,39.41184982,14434.80532,11.31939966,19868.57488,13130.3763,20531.70099,0,0,10427.01631,5501.840691,11490.88975,4733.780357,12154.01586,0,-8377.685129,1976.392145,-2351.568388
H-8,846.9986367,18553.13922,191.5458104,138.081217,7348.595019,0,1506.648236,15421.72689,2249.884402,39242.01994,18736.64394,14908.54215,2975.696652,8423.452867,12158.35996,8280.48499,30693.19948,10392.03637,6573.158403,-5401.988478,36.71134065,3755.086964,-116.2955529
D-4,5674.943378,26331.05841,164.6993494,933.1283188,4633.765601,160.7938041,69.24316688,23136.30336,3074.997746,8907.521816,9362.414583,1124.152823,0,9451.491909,10311.82816,8581.147297,529.836687,1056.805029,-7424.528651,-8377.685129,1072.505732,1943.484744,180.9720415
J-2,749.2700585,14133.82181,1478.076317,675.9331994,13258.75052,11456.21552,816.035148,14814.39067,3500.437876,10205.25085,13334.56501,10004.50957,8276.204984,11260.23548,13868.57397,9984.068934,1704.313635,4926.451968,1590.454119,-109.6677813,2876.720486,5514.663484,1596.076095
C-3,22686.57008,21440.71805,3.626855738,14601.39788,953.1454625,28169.05307,8961.651144,743.1870266,10.83780009,11626.67922,4018.797103,3670.404923,5665.017258,4115.413236,11477.53493,0,3243.935672,-4376.786313,-4707.280206,-2712.667871,-5949.697626,3102.99546,-8377.685129
C-7,7734.716985,6235.688152,0,5886.953643,6854.942276,3.681908578,0,4860.518681,18.44689597,0,9197.680126,0,0,5205.114863,11075.78109,7621.366355,0,832.3496076,0,0,-3172.570266,2679.846811,-756.318774
I-10,0,0,0,3.567492113,7.330919442,0,0,0,14.73081256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C-2,14492.6396,18200.93711,0,9175.313585,832.4886993,13586.46562,3864.210346,395.5186878,390.3855621,16873.73007,7219.050672,4785.622552,0,6114.306825,8975.057971,6130.796294,8498.41656,-1126.07964,-3582.026496,0,-2276.516726,780.4881116,-1307.903084
D-5,10206.70736,1991.076281,0,13342.55591,18546.19694,8038.343506,13318.39244,25773.15857,332.5822416,10985.85254,11605.97471,10151.27355,0,34313.83033,8868.444288,8842.735368,2532.290351,3238.822144,1830.379033,0,25972.45275,444.4556336,436.2045821
E-4,9717.420988,12787.66946,0,10823.40334,8885.507299,0,393.3839627,15912.32913,14.72442615,11842.42148,10882.01425,14353.11524,0,1886.26122,10378.26472,5282.885743,3344.797611,2506.184498,6006.563445,0,-6373.750076,1999.120621,-3304.211006
D-6,9401.958202,8390.551506,7.358116373,6046.26718,253.0564974,15880.19299,3701.267492,8703.846698,1368.923502,11432.99997,3300.695651,6442.318116,53009.41481,12084.9415,12274.04696,10182.31729,3072.823524,-5046.38801,-1935.367013,29943.79905,3710.366394,3892.980308,1804.213232
F-8,10344.06428,3416.883692,0,12913.327,6117.726166,0,637.8005562,17426.53933,3.752024108,9010.329003,10682.65547,10737.36544,0,17802.46484,9865.731189,2610.880912,638.8693535,2281.131861,2349.520429,0,9424.779714,1475.440068,-5766.804217
A-6,21975.58096,397.3567271,0,188.4629783,1191.301318,22708.70544,3170.695678,746.220021,1921.077119,9023.194972,5404.458255,8986.253073,0,11710.41039,5755.096104,15715.36287,641.3626655,-2975.602705,605.5471878,0,3324.777797,-2289.697879,7394.514471
H-3,8538.509109,15713.31805,11807.15083,321.2289428,43.38754249,14910.76612,14044.93005,2301.848757,9328.069927,10091.36084,5169.118409,4010.264705,8427.175838,10548.23868,8686.452522,8639.813436,1685.127077,-3208.566721,-4367.420424,-17.39891906,2203.74445,330.8513242,238.6888657
C-4,22155.56348,24816.86956,0,12055.04589,1015.538662,25807.03448,18490.51805,6904.423248,0,13297.12166,3310.083405,3853.500103,0,0,12555.51031,0,4904.034446,-5070.73047,-4534.456159,0,0,4201.240311,0
A-7,20522.18108,14.35381106,0,35.54975071,1038.621668,20576.93548,7746.861013,682.5961271,209.3478264,8547.203647,7259.458668,8385.342995,0,0,58072.2856,12303.45034,159.3270465,-1124.808498,6.8886553,0,-8377.685129,49757.75473,3925.76521
F-4,15008.26638,1409.696434,3.569648144,8009.837927,2850.534395,11269.49201,67.73803514,17385.00982,88.96956915,3734.431195,6443.393866,13673.36704,0,11884.58472,1431.28708,7207.010463,-4709.681277,-1930.25074,5532.125778,-8377.685129,3506.899586,-6946.081649,-1184.279719
