,TMA.core,Density of nucleus_mean,Density of nucleus_max,Density of nucleus_min,Density of nucleus_CoV,Density of clusters,Number of triangles,Perimeter of triangle_mean,Perimeter of triangle_max,Perimeter of triangle_min,Perimeter of triangle_CoV,Area of triangle_mean,Area of triangle_max,Area of triangle_min,Area of triangle_CoV,COrE_corrln_mean,COrE_IDM_mean,COrE_dissimilarity_mean,COrE_entropy_mean,COrE_energy_mean,COrE_diffEntropy_mean,COrE_contrast_mean,COrE_diffVariance_mean,COrE_Homogeneity1_mean,COrE_Homogeneity2_mean,COrE_SumAverage_mean,COrE_SumEntropy_mean,COrE_SumVariance_mean,COrE_corrln_max,COrE_IDM_max,COrE_dissimilarity_max,COrE_entropy_max,COrE_energy_max,COrE_diffEntropy_max,COrE_contrast_max,COrE_diffVariance_max,COrE_Homogeneity1_max,COrE_Homogeneity2_max,COrE_SumAverage_max,COrE_SumEntropy_max,COrE_SumVariance_max,COrE_corrln_min,COrE_IDM_min,COrE_dissimilarity_min,COrE_entropy_min,COrE_energy_min,COrE_diffEntropy_min,COrE_contrast_min,COrE_diffVariance_min,COrE_Homogeneity1_min,COrE_Homogeneity2_min,COrE_SumAverage_min,COrE_SumEntropy_min,COrE_SumVariance_min
1,I-6,0.02648830745397,0.0395561987457791,0.02648830745397,0.840735662276274,2229.57463263105,4691,54.5050867981731,851.397114198734,10.0365405964303,0.803167826356736,135.774873161373,12277.5749999998,2.43000000007946,2.75597953701343,-0.0398197934030076,0.000361491549916379,4.97312271025631,4.88127237194379,0.102924637302595,2.57076948848387,42.2752830820264,0.00242204929647768,-0.00905054685524289,0.202307594488569,14.1084183700039,3.11795355091886,161.691425952093,-0.0256311068229911,0.000636942675159236,5.2076241299708,5.3434206670911,0.125753491251007,2.62029685355413,44.6265296133137,0.00268662548496683,-0.00431731650173799,0.230161873057897,15.5350318471338,3.22072520731737,189.912272129101,-0.0531846963266242,0,4.74649681528663,4.52509259224437,0.0775645627394214,2.52271770690221,38.4178343949045,0.00199636399171703,-0.0119564088216009,0.151175212231736,12.1879588839941,3.02771930005475,124.029335191384
2,I-7,0.0204106975998383,0.0487195502810743,0.0204106975998383,1.07984949747022,2113.25109823533,5398,57.2092824982054,1521.54768347574,10.8074616242063,1.22842021188029,166.612995553909,33115.7600000004,1.64999999999988,5.15645774650528,-0.0371614320044872,0.000107933425807156,5.04564127797012,5.01955583775169,0.094912605411469,2.58933688996837,42.1646639098023,0.00222329719014156,-0.00760217662980326,0.189811689184195,14.1407529877001,3.14664176672805,161.015554540601,-0.023824298292365,0.000302030073565896,5.48474363007235,5.22715030611117,0.11249809802064,2.65532888045511,48.9789241899969,0.00272214313985982,-0.00476397195905806,0.233363830702636,15.0193514982849,3.19047779495412,177.876446923856,-0.0487572846426121,0,4.6958981612447,4.68489956959591,0.0843096273913967,2.52517983893715,38.0990099009901,0.0018229167141348,-0.0118817938596651,0.157011127756424,12.490720352312,3.05522805322075,131.00889448008
3,J-7,0.0142876806708206,0.0280442804428044,0.0142876806708206,1.36164647138357,1584.54352184003,6725,53.4000097879676,1366.70085449546,13.1057796713338,0.864408278728125,123.804148698885,9782.41499999976,1.81999999998672,2.45356952491182,-0.0292662198219979,0.000106871535830165,4.85269012089233,5.18091514081981,0.0870841599646373,2.5543090779273,38.5894781775182,0.00242032377259379,-0.00596804870268992,0.173931958988065,13.3901774554182,3.14167112585682,141.4652632163,-0.0224834794597231,0.000213743071660329,5.05017332603539,5.20137471851982,0.0880409756992875,2.58253678211371,40.5706987775953,0.00266492274328774,-0.00485691468426175,0.189730538442203,13.6119549838158,3.16591898691548,145.133489166117,-0.0360489601842728,0,4.65520691574926,5.1604555631198,0.086127344229987,2.52608137374089,36.608257577441,0.00217572480189983,-0.00707918272111809,0.158133379533926,13.1683999270206,3.11742326479815,137.797037266482
4,K-10,0.0168424797808115,0.0559190957763236,0.0168424797808115,1.34646715770318,1570.60197153595,8091,49.8232057654332,567.015749911096,11.7715756966097,0.7483089345678,117.870816957113,7160.83499999996,2.25500000001057,2.01847039504618,-0.0306345719581113,0.000265025733367495,4.61893451125655,4.98825114495431,0.0994756691601325,2.50606689303119,36.9081883785058,0.00285847964067648,-0.007348253816119,0.184486170263608,13.5001004542674,3.07062734152519,144.16771724465,-0.0217398032402292,0.00088339222614841,5.12720848056538,5.28068430274988,0.13084363890599,2.59615065219702,44.5583038869258,0.00393013744184778,-0.00477925333185382,0.244985694772987,14.9487632508834,3.17814839516398,180.536123799002,-0.052225029519498,0,3.94507111329083,4.45636271666832,0.0848387865293085,2.32973225446302,26.8288376655223,0.00220284538713839,-0.013320993572187,0.158053357297442,11.8548307994115,2.86000877854315,105.266327805355
5,J-9,0.0540399321001027,0.0911680911680912,0.0540399321001027,0.55158924103207,2691.21396811458,1948,91.071898212551,1168.82832293663,14.94420890658,0.93574306387536,353.655433778234,12766.9550000004,3.53500000000073,2.16743481891495,-0.103827512408696,0.000193741086564594,3.91119419227317,3.07176505743043,0.284351872553615,1.68634106085223,34.7795984865495,0.0109229841160807,-0.0312420042854794,0.274724316707409,12.3883690877477,2.05643872591672,143.122291012889,-0.0329674488765256,0.00135618760595216,6.50127877237852,5.03442167457031,0.451553583226289,2.5991667751128,65.0281329923274,0.0195603355952236,-0.00610866532739911,0.311186533061672,17.4936061381074,3.16480761407647,286.858362789968,-0.220299591595449,0,0.973638720829732,1.77577377579209,0.0902662768612639,1.03050247504179,1.4256698357822,0.00229531164047117,-0.0479446323849956,0.174289637179855,7.31264916467781,1.31753566358421,60.9963810208926
6,F-9,0.0272378550599197,0.0595348837209302,0.0272378550599197,0.728750764130614,1897.87363625842,6295,57.3771286138532,684.949734091236,12.9826821917924,0.855489843170854,151.698355043685,21063.8050000003,2.53499999999735,3.20493816339222,-0.0406181022522877,0.000244118536922063,4.80247063275576,4.81689830604823,0.111123086382217,2.52554603322523,39.4361049547893,0.00267416385766762,-0.00972528588277284,0.208192294312071,14.110872633506,3.06923909894756,160.362056526928,-0.0210798725951104,0.000780250980732135,5.85314685314685,5.35031646934609,0.157428270809042,2.69263864847395,54.5594405594406,0.00457271081308166,-0.00463518856653685,0.256590312777609,16.9441036866859,3.24518608489832,231.177480520724,-0.0709929685760819,0,3.62845303867403,4.12907430076909,0.0792559390612148,2.25658073137515,23.7502109704641,0.00157943924966376,-0.0156150148238391,0.156100989182715,10.7995758218452,2.75216448298714,93.752472840772
7,G-1,0.113207547169811,0.113207547169811,0.113207547169811,NA,1536.48972094109,2077,100.234086849416,634.585622416304,13.5471734781924,0.586419623066441,419.532140105922,5713.93999999995,7.72499999997618,1.21482223136342,-0.116174577493196,0,4.94541361845808,3.45368396055218,0.204710485124691,2.08633228780388,45.1592571750141,0.00506584170559218,-0.019880339080684,0.2588430025368,12.458075407991,2.4506003598063,135.908209973351,-0.116174577493196,0,4.94541361845808,3.45368396055218,0.204710485124691,2.08633228780388,45.1592571750141,0.00506584170559218,-0.019880339080684,0.2588430025368,12.458075407991,2.4506003598063,135.908209973351,-0.116174577493196,0,4.94541361845808,3.45368396055218,0.204710485124691,2.08633228780388,45.1592571750141,0.00506584170559218,-0.019880339080684,0.2588430025368,12.458075407991,2.4506003598063,135.908209973351
8,F-2,0.000274742072220488,0.000274742072220488,0.000274742072220488,NA,1169.05955289935,23987,31.563037414212,786.072214042801,9.02850028765526,0.686021533338622,43.3392318755992,4036.57,0.0349999995533488,1.42886089074772,-0.0271766909192731,0.000197852299894183,5.15263212289327,5.29085599912368,0.0834244975886228,2.61666941643551,42.9737523932283,0.00201037441882106,-0.00459972279188567,0.155233617340289,15.0369780222173,3.20178741778732,180.771519237925,-0.0271766909192731,0.000197852299894183,5.15263212289327,5.29085599912368,0.0834244975886228,2.61666941643551,42.9737523932283,0.00201037441882106,-0.00459972279188567,0.155233617340289,15.0369780222173,3.20178741778732,180.771519237925,-0.0271766909192731,0.000197852299894183,5.15263212289327,5.29085599912368,0.0834244975886228,2.61666941643551,42.9737523932283,0.00201037441882106,-0.00459972279188567,0.155233617340289,15.0369780222173,3.20178741778732,180.771519237925
9,B-10,0.000343444326624726,0.000343444326624726,0.000343444326624726,NA,1312.19855389958,13817,38.3609660536886,798.901327069264,10.5385296363196,0.623857639238104,65.3256705507707,4611.38000000009,0.49999999980351,1.43726849914796,-0.0278508935856759,0.000673262859495686,5.35467055748674,5.33546370661624,0.078155149174648,2.6462350660791,46.4208350046161,0.00186539710210786,-0.00431294057051255,0.150988046266332,14.2946647336666,3.23961114294438,166.119384808085,-0.0278508935856759,0.000673262859495686,5.35467055748674,5.33546370661624,0.078155149174648,2.6462350660791,46.4208350046161,0.00186539710210786,-0.00431294057051255,0.150988046266332,14.2946647336666,3.23961114294438,166.119384808085,-0.0278508935856759,0.000673262859495686,5.35467055748674,5.33546370661624,0.078155149174648,2.6462350660791,46.4208350046161,0.00186539710210786,-0.00431294057051255,0.150988046266332,14.2946647336666,3.23961114294438,166.119384808085
10,E-6,0.0311729603294246,0.1,0.0311729603294246,0.877151108836026,1118.88108762956,7587,55.6142751486636,1047.5803764836,11.3898546412693,0.623955145234222,139.538275998418,5410.62500000002,2.09999999999918,1.38170438680791,-0.0460918857602292,0.000171039646436704,4.78767554378362,4.79289838140227,0.108812838635481,2.50613688765405,39.1163117651848,0.00282481025550739,-0.00960482240376524,0.207979814619935,13.2995990035191,3.04901219403873,142.577918606584,-0.0299845226476776,0.000829875518672199,5.88622581576668,5.32976735794271,0.148693900476743,2.63930466192123,51.7516604100491,0.00421717517314508,-0.00464954948114491,0.254683404210575,15.8665896621427,3.22216180182741,205.385558757863,-0.0814700114246446,0,3.99677679290895,4.16316557660157,0.0797512944391902,2.31483854090467,28.7574536663981,0.00153151141363312,-0.0151731848006955,0.156629556160593,11.222433460076,2.7849616944362,97.5810892321268
