"","Cell.ID","x.start","y.start","x.end","y.end"
"1",1,10993.5,5612.1,10992.0454831433,5616.88376219243
"2",2,11545.7,5796.9,11542.8359908804,5800.99846944146
"3",3,10615.5,5707.2,10619.7813215099,5709.78268970812
"4",4,11135.4,5574,11132.9286787495,5578.34655855553
"5",5,11242.9,5532.8,11244.2273274919,5537.62060180158
"6",6,11026.1,5638.4,11029.5620974859,5642.00747571001
"7",7,11193.9,5419.9,11198.3858975437,5422.10833041621
"8",8,11367.9,5861.9,11364.7889897303,5865.81428347232
"9",9,11430.3,5564.5,11429.6502543654,5569.45760331313
"10",10,11127.1,6360.9,11131.8991973032,6362.30274917382
"11",11,10579.2,6145.2,10579.4321942533,6150.194605673
"12",12,11397.9,5624.2,11397.3080857102,5629.16484012568
"13",13,10974.6,5600.1,10972.7687606251,5595.44741336978
"14",14,10916.6,5559.5,10913.6044356714,5563.50332291395
"15",15,11051.6,5814.2,11049.3094045367,5818.64445411985
"16",16,11612.1,5779.5,11612.9192818066,5784.43242104056
"17",17,11130.8,5880.4,11130.9427740425,5885.39796114159
"18",18,11185.3,5755.2,11185.3894298669,5760.19920016592
"19",19,10443.9,5656.1,10446.3858409905,5660.43827091937
"20",20,11283.7,5671.4,11281.8701725528,5676.05314211191
"21",21,11401.6,5408.6,11401.2299142954,5413.58628484658
"22",22,10477.9,5848.5,10474.741540373,5852.37609762324
"23",23,11423.9,5757.7,11420.7182305489,5761.55698627944
"24",24,10981.7,5941.8,10977.4489334022,5944.43219163071
"25",25,11300.8,5354.6,11304.9152382959,5357.43986157549
"26",26,10520.9,5451.2,10517.8576264641,5455.167866337
"27",27,10930,5524.4,10928.2987557258,5529.101677139
"28",28,11053.4,5777.4,11053.6068264101,5782.39572045215
"29",29,10637,5855.1,10639.8087414803,5859.23654098215
"30",30,11495.9,5807.4,11496.8243834538,5812.31380862777
"31",31,11030.1,5612.5,11034.4149528624,5615.02610011583
"32",32,11405.6,5495.7,11403.765470201,5500.35129018839
"33",33,10564.2,5718.3,10563.3072653629,5723.21965698679
"34",34,10548.3,5893.6,10546.811601059,5888.82667112044
"35",35,11219.8,5846,11219.5131144267,5850.99176288177
"36",36,10491.2,5729.2,10489.8550375239,5734.01571136364
"37",37,10934.4,5463,10939.0347196507,5464.87599940295
"38",38,11175.9,5883.6,11175.6847401599,5888.59536417103
"39",39,10976.9,5670.6,10978.2537853352,5675.41323854242
"40",40,10357.8,5749.6,10361.3085749814,5753.16228881477
"41",41,10982.2,5642.5,10983.4198113452,5647.34892362097
"42",42,10427.7,6016.4,10431.3533060916,6019.81370101225
"43",43,11291.2,5525.3,11291.3488454657,5530.29778401167
"44",44,11420,5675.1,11417.8353499168,5679.60713767454
"45",45,11291.4,5974.2,11293.4136322129,5978.77660193936
"46",46,11133.2,5724.7,11131.5889328668,5729.43333526093
"47",47,11454.5,5830.8,11457.5799002644,5834.738808749
"48",48,10927.2,5732.5,10926.8701102943,5737.489105409
"49",49,10927.2,5161.6,10925.7172711652,5166.37509321401
"50",50,11539,5519.2,11542.5219738803,5522.74904212237
"51",51,10473.9,5836.7,10474.3188684587,5841.68242402996
"52",52,10837.5,5709.3,10840.6160072143,5713.2103067706
"53",53,10923.1,5467.8,10927.6276691288,5469.9213703731
"54",54,10718.3,6048.6,10720.989820174,6052.8148389568
"55",55,10561.4,5901.1,10560.510417324,5906.02022790759
"56",56,11372.9,5764,11371.3515201036,5768.75417816352
"57",57,11081.9,5628.7,11082.0487672208,5633.69778634137
"58",58,11001.5,5742.8,11005.5068007214,5745.79091089458
"59",59,11189.8,5577.5,11194.5683912634,5575.99585746699
"60",60,10733.7,5496.9,10732.0818280447,5501.6309110669
"61",61,10973.2,5523.5,10977.9328564777,5525.11247311967
"62",62,11426.9,5606.8,11426.54658929,5611.78749444812
"63",63,11475.5,5478.7,11475.685969124,5483.69654035158
"64",64,11156,5580.2,11157.3088883612,5585.02564102043
"65",65,11262.7,5664,11259.7969456345,5668.07090596192
"66",66,11327.5,5655.4,11324.8355157193,5659.6309010291
"67",67,11455.1,5630.3,11452.7926174301,5634.73576213024
"68",68,10689.2,6033.8,10687.4717355331,6038.49181222262
"69",69,11084.8,6089.6,11080.859848359,6092.67818210086
"70",70,11286.7,6153,11291.496839556,6154.41079065578
"71",71,11007.6,5988.5,11006.6585409971,5993.41056564419
"72",72,11456.2,5525.2,11457.488789617,5530.03104764239
"73",73,11242,5522.1,11245.0503261791,5526.06175594922
"74",74,10929.9,5683.5,10924.9594310105,5682.73137911817
"75",75,10424.8,5685.6,10429.0869054282,5688.17341054822
"76",76,10460,6098.2,10458.3713450523,6102.92731245648
"77",77,11235,5660,11236.8014093926,5664.66421742635
"78",78,11063.7,5697,11068.4414487615,5698.58702981765
"79",79,11124.6,6340.2,11128.6833519446,6343.08552194522
"80",80,10952.5,5477.3,10953.1157035675,5482.26194610177
"81",81,11357.8,5722.2,11355.9137769994,5726.83056830118
"82",82,10834.6,5806.6,10834.9488665408,5811.5878143647
"83",83,11055,5420.9,11053.9028931896,5425.77815094545
"84",84,11470.2,5518.9,11474.4035514838,5516.19257411491
"85",85,11357.7,5379.9,11358.2949369375,5384.86447882868
"86",86,11363.3,5857.7,11361.7738280369,5862.46138626233
