"","coreName","Area.µm.2_Max","Area.µm.2_Min","Area.µm.2_Mean","Area.µm.2_CoV","Length.µm_Max","Length.µm_Min","Length.µm_Mean","Length.µm_CoV","Circularity_Max","Circularity_Min","Circularity_Mean","Circularity_CoV","Solidity_Max","Solidity_Min","Solidity_Mean","Solidity_CoV","Max.diameter.µm_Max","Max.diameter.µm_Min","Max.diameter.µm_Mean","Max.diameter.µm_CoV","Min.diameter.µm_Max","Min.diameter.µm_Min","Min.diameter.µm_Mean","Min.diameter.µm_CoV","chullLength_Max","chullLength_Min","chullLength_Mean","chullLength_CoV","chullArea_Max","chullArea_Min","chullArea_Mean","chullArea_CoV","elongation_Max","elongation_Min","elongation_Mean","elongation_CoV","FD_Max","FD_Min","FD_Mean","FD_CoV","convexity_Max","convexity_Min","convexity_Mean","convexity_CoV","curvMeanStat","curvMinStat","curvMaxStat","curvStdStat","n_protrusion_Max","n_protrusion_Min","n_protrusion_Mean","n_protrusion_CoV","n_indentation_Max","n_indentation_Min","n_indentation_Mean","n_indentation_CoV","MOI_Max","MOI_Min","MOI_Mean","MOI_CoV"
"1","I-6","327.4553","4.5194","24.6421300847458","0.851188349853128","68.0705","9.1357","18.5408788983051","0.328665215041558","0.9813","0.1882","0.827317838983051","0.130749521138131","1","0.5542","0.985138601694915","0.0516243446809915","26.1564","3.1304","7.16845406779661","0.342081756368095","17.6735","2.2001","4.25884822033898","0.350207814457522","68.0173437771166","9.13628211804265","18.4258954817817","0.323888357367563","329.707935491205","5.59087588839991","25.0573673233905","0.857870513486157","3.56064087108853","0.341580138059128","1.61705552267078","0.328386438726702","1.07342069416464","1.07342069416464","1.07342069416464","0","1.00027077622406","0.679817443938152","0.994921003412002","0.0230990731443449","0.461438184831694","-0.564752276909418","4.05389365271858","0.636533654035711","4","0","0.598728813559322","1.41492643511247","0","0","0","0","2209.49337429155","-1293.15500896954","6.03104751414568","17.0606231656343"
"2","I-7","790.6643","4.3641","24.6070534438306","1.52850541092196","103.9311","8.4932","18.1751932596685","0.415267747987418","0.9761","0.1761","0.809266298342541","0.14357694438196","1","0.5257","0.983002909760589","0.0544417822829794","38.7071","2.9916","7.09935307550645","0.422887481490179","27.9008","1.9053","4.06195230202578","0.442517852470417","103.913935882256","8.4944836911223","18.0453974188833","0.410637640282697","791.717042243411","4.9390443441983","25.0664388006486","1.51726605271384","3.88217675324618","0.415963208720917","1.69718746559063","0.348464095211879","1.07342069416464","1.07342069416464","1.07342069416464","0","1.00019109062551","0.59366717234906","0.994098776725616","0.0246387754461236","0.486302560539295","-0.717658996019306","4.34228123125165","0.704534269968243","5","0","0.740699815837937","1.24916485442684","0","0","0","0","7570.29636413946","-6631.08230073766","-0.550126806959131","-464.965995287274"
"3","J-7","245.6425","5.6979","32.9250110881135","0.606039074707521","65.7256","9.1134","21.3629109698403","0.294841290422506","0.98","0.1829","0.838932318154938","0.124466117687232","1","0.5169","0.986639769367238","0.0466489481329259","27.6682","3.1593","8.22175795387345","0.312080882009253","12.2259","2.108","4.97160901833235","0.319547139909205","65.5078310397394","9.11479128061045","21.2668599962242","0.294175620850235","253.885516300605","5.83906016400259","33.3292962979964","0.601787835087233","3.85753485385824","0.38274065740528","1.60201657392675","0.329088234455202","1.07342069416464","1.07342069416464","1.07342069416464","0","1.00023609306582","0.68337358763835","0.995900875265789","0.0198754383438305","0.402815215252633","-0.565678683360732","3.33955026718383","0.545271869014763","5","0","0.515375517445299","1.59572581735395","0","0","0","0","1611.21444564993","-747.83783820215","-1.58769114646946","-47.1138786921291"
"4","K-10","312.8633","5.4613","30.6077927621861","0.555935506910999","69.4736","8.968","20.0221449286066","0.265470476236267","0.9857","0.2552","0.903081388478582","0.0978561811791315","1","0.6116","0.993845913343181","0.0321054035681573","28.3999","3.1017","7.23215864106352","0.296149341624901","14.6443","1.974","5.32101356474643","0.274362694687232","69.4351364144298","8.96992985719","19.981535609899","0.264803747328382","314.406295883225","5.46060027059878","30.7822969014087","0.555388465623216","3.6945122376407","0.37582677255133","1.27806538011559","0.354542094138376","1.29545588352617","0.943762635370795","1.07136364604132","0.0159183770859189","1.00035538864406","0.7431165583094","0.998155160182193","0.0119776336377675","0.383979835151711","-0.276958207878674","2.06845318436716","0.370300171436615","5","0","0.286804529788282","2.20278421559379","0","0","0","0","1570.28417979406","-5855.20620942612","-2.42494820857427","-44.8564919508893"
"5","J-9","2332.0581","5.457","37.0338357723577","2.07143050320603","198.0199","8.8499","23.204699898374","0.379767117183299","0.9785","0.2113","0.771155691056911","0.173480161362642","1","0.5669","0.979142073170732","0.0567103837267586","83.8284","3.1595","9.34054004065041","0.402247146915942","35.8414","1.7369","4.72259369918699","0.392941007529818","197.601874350398","8.84904188776984","23.0571290335729","0.376992203534037","2363.9942222372","5.45572562720005","37.8085244788337","2.06120699210708","4.48760474997393","0.444922214139881","2.01788669523715","0.341888956896115","1.32603834828985","0.973766290052934","1.07236563000898","0.0233607395542053","1.00025402923649","0.737328940829153","0.99441464890188","0.022207176882836","0.393337887506747","-1.09309245416817","4.22707475596199","0.681354019030816","5","0","0.708333333333333","1.33369819509964","0","0","0","0","234645.757802982","-2673.87784979506","234.295568330693","31.9406761643312"
"6","F-9","246.6648","4.9891","25.0692203411244","0.741563483970069","93.213","8.7883","18.8837389134555","0.314828836018023","0.9784","0.2435","0.81964542008844","0.143520244709662","1","0.587","0.980871825647505","0.0567971475121012","28.1759","3.2562","7.30320701200253","0.333931814559693","15.2077","1.9862","4.31087454200884","0.321390838051313","71.8108460696928","8.78782369663791","18.7382848556245","0.309100182589901","326.316224570605","4.98900686260142","25.5791159526037","0.749902501560409","3.58781052352712","0.394187341772029","1.6333329902595","0.338020697398389","1.07342069416464","1.07342069416464","1.07342069416464","0","1.0002862026547","0.770395181677372","0.993412429274219","0.0235226084975668","0.463820886258316","-0.771409305034782","4.77887776308986","0.724413300653007","5","0","0.68603916614024","1.35176794806546","0","0","0","0","1689.47372411551","-2898.57035177778","-3.37671970657376","-28.7008907828862"
"7","G-1","318.4947","4.4541","27.9293251417769","1.00142031325473","67.3135","8.2828","20.0573030245747","0.377142735536169","0.9808","0.2384","0.777680151228733","0.162427702307138","1","0.5431","0.980088563327032","0.0541912985078695","28.4093","3.1879","8.03492901701323","0.384562909404746","18.9363","2.0076","4.17842741020794","0.435515996043093","67.1652392190553","8.28252707285641","19.9316723161456","0.37414150107281","318.484847150594","4.45387819759875","28.5385887294559","0.993235696262324","4.23817269714895","0.40332749675551","1.92792891520817","0.34670609849259","1.07342069416464","1.07342069416464","1.07342069416464","0","1.00010878516734","0.774035422949868","0.994845848818578","0.0203581872461095","0.460044864967002","-0.775700686934377","4.58126906583718","0.715851064150706","5","0","0.761814744801512","1.23654321829042","0","0","0","0","1371.53260191183","-4409.82058584719","-24.0546945798384","-8.05071251428031"
"8","F-2","204.1406","3.8099","18.9624276783485","0.483811651927944","57.3036","7.8541","16.2637946308166","0.224893841628564","0.9837","0.2349","0.863227645051195","0.1053242109172","1","0.5833","0.98782930991426","0.0472214195144678","21.5121","2.8469","6.09219334887206","0.255784712058866","15.65","1.8525","4.04429474735703","0.217981255139669","54.7709527562359","7.85492066044373","16.1915878776887","0.224485525465867","218.462801855196","4.09219614660016","19.1589354939172","0.48040161898334","3.54495047828753","0.448238744001374","1.38426251260076","0.297386163961887","1.07342069416464","1.07342069416464","1.07342069416464","0","1.00020326839687","0.727662473644819","0.995705630141779","0.0184498508822857","0.48291895542361","-0.380223439925217","3.61756994201436","0.582418255022218","4","0","0.513776741862982","1.55134278272301","1","0","0.00016648630650129","77.498386811436","351.659197460244","-1970.16327394081","-1.35428026698923","-19.4594324948236"
"9","B-10","395.4137","4.8335","24.9766778210678","0.597893756636276","75.5667","8.692","19.1596517893218","0.278433176080441","0.976","0.1772","0.816237229437229","0.156412488883403","1","0.5441","0.981105295815296","0.0588753243882206","28.1606","3.1382","7.45181705627706","0.313548990486642","17.5993","2.013","4.30002196248196","0.27219509067232","73.8523221506714","8.68945974986184","19.0056268376777","0.273657896150035","395.96848916059","4.83005020340246","25.4410637557919","0.59754258796353","4.21829575455508","0.339124559045359","1.67810020821868","0.363477905352626","1.07342069416464","1.07342069416464","1.07342069416464","0","1.00028973671201","0.673382053546411","0.993015283678121","0.0260851871941679","0.454466473603153","-0.836414209576765","4.78963537430102","0.721551464199194","5","0","0.656709956709957","1.4103988741298","0","0","0","0","3817.67870844954","-1926.66752201756","-0.480319284516767","-156.700903787462"
"10","E-6","372.9418","5.3276","28.4996373427673","0.845402743097018","82.3475","8.7308","19.8975471698113","0.343316475571139","0.9803","0.214","0.821875943396226","0.135182302382931","1","0.5512","0.981988888888889","0.0560879038782979","24.5809","3.0456","7.70215251572327","0.357846460963197","20.0843","2.2374","4.54861983752621","0.361847477235383","69.5317623795639","8.73178935033585","19.7539769566726","0.339836796122487","372.93138821319","5.35448144800093","29.0623607558998","0.851305301827479","3.91736018641905","0.391997566592609","1.62597286858471","0.330875862189455","1.07342069416464","1.07342069416464","1.07342069416464","0","1.00016395825791","0.744812913568631","0.993785026340606","0.0240908465097614","0.443172771358203","-0.736818541507582","4.26031011662943","0.672119422280626","5","0","0.662997903563941","1.32421858955585","0","0","0","0","1406.6415331426","-1438.6346527343","-13.6796544619014","-7.31591162103573"
