TMA.core,Area.µm.2_Max,Area.µm.2_Min,Area.µm.2_Mean,Area.µm.2_CoV,Length.µm_Max,Length.µm_Min,Length.µm_Mean,Length.µm_CoV,Circularity_Max,Circularity_Min,Circularity_Mean,Circularity_CoV,Solidity_Max,Solidity_Min,Solidity_Mean,Solidity_CoV,Max.diameter.µm_Max,Max.diameter.µm_Min,Max.diameter.µm_Mean,Max.diameter.µm_CoV,Min.diameter.µm_Max,Min.diameter.µm_Min,Min.diameter.µm_Mean,Min.diameter.µm_CoV,chullLength_Max,chullLength_Min,chullLength_Mean,chullLength_CoV,chullArea_Max,chullArea_Min,chullArea_Mean,chullArea_CoV,elongation_Max,elongation_Min,elongation_Mean,elongation_CoV,FD_Max,FD_Min,FD_Mean,FD_CoV,convexity_Max,convexity_Min,convexity_Mean,convexity_CoV,curvMeanStat,curvMinStat,curvMaxStat,curvStdStat,n_protrusion_Max,n_protrusion_Min,n_protrusion_Mean,n_protrusion_CoV,n_indentation_Max,n_indentation_Min,n_indentation_Mean,n_indentation_CoV,MOI_Max,MOI_Min,MOI_Mean,MOI_CoV
E-3,627.2773,2.8174,19.36909345,0.836766289,112.1844,6.7368,16.26543378,0.319564957,0.9827,0.1861,0.850701728,0.11613614,1,0.5311,0.986987006,0.049567139,47.957,2.671,6.163068963,0.350405058,17.8943,1.6527,3.938158845,0.29452648,244.2721135,14.84052999,35.63626791,0.315974825,3228.3519,13.67475,95.28959558,0.846162806,3.476411047,0.463670807,1.446284225,0.321199535,1.073420694,1.073420694,1.073420694,0,2.203516563,1.54133522,2.192468272,0.020139307,0.226626467,-0.193407364,1.764648962,0.280144642,4,0,0.171632526,2.990549458,0,0,0,0,-4151047209,-9.68107E+11,-29499987218,-0.846227678
G-13,170.4131,4.2671,30.09242385,0.605488434,54.0989,9.0816,20.96291085,0.279149978,0.9798,0.2479,0.80758615,0.147004629,1,0.5652,0.982823756,0.054071082,23.6276,3.1184,8.260021502,0.302682879,13.6929,2.0282,4.600085117,0.312062083,119.027734,20.00581122,45.91850646,0.279058162,865.33045,25.77095,148.2573565,0.600476557,3.790910588,0.453348487,1.774519133,0.338592787,1.073420694,1.073420694,1.073420694,0,2.202916943,1.659732983,2.191161426,0.021776668,0.1904229,-0.386787648,1.854861714,0.295797233,4,0,0.203755869,2.656101294,0,0,0,0,-588587715.9,-26837752729,-4946975965,-0.586668601
D-13,523.7175,5.0671,24.78469796,0.633069033,86.0108,8.625,18.1516803,0.243030709,0.9856,0.3219,0.896496462,0.086373937,1,0.5973,0.996025307,0.026286813,31.3073,3.0372,6.638689325,0.267543487,22.4423,2.2145,4.741142909,0.257351695,189.159836,18.99850212,39.92077935,0.242087839,2570.46335,24.5864,120.7353886,0.635521183,3.527436639,0.500481357,1.318924306,0.316237432,1.073420694,1.073420694,1.073420694,0,2.202917715,1.743287086,2.199708894,0.011015622,0.189199896,-0.088616142,0.988587722,0.177260515,4,0,0.061169415,4.817516798,0,0,0,0,-1092998744,-1.26341E+11,-5507019497,-0.664103133
L-13,2151.2283,5.7596,35.70694643,0.872548007,184.1019,9.716,22.05602684,0.27990898,0.9808,0.2191,0.869407316,0.118130371,1,0.5373,0.984090933,0.055806264,71.5254,3.4133,8.187590123,0.295914646,42.7159,2.1514,5.532236685,0.281369285,404.1701022,21.39943787,48.24448635,0.274293677,10675.92355,32.78335,176.3729771,0.875458473,4.087655652,0.370320783,1.389669974,0.297068104,1.378511623,0.928990498,1.072717441,0.013210251,2.202684644,1.450073022,2.190393426,0.023203391,0.170111483,-0.217800968,1.4791787,0.23006043,4,0,0.163350411,2.986352909,0,0,0,0,-120755964.9,-63297509776,-1034977659,-0.922745126
C-8,253.7365,2.4436,15.96512235,0.528571658,59.3287,6.4367,15.34763569,0.239654068,0.9797,0.192,0.81716844,0.141664254,1,0.4971,0.977323368,0.064657332,22.4755,2.3974,5.887890074,0.277710323,13.7831,1.3371,3.574115289,0.226126701,130.677505,14.17625254,33.50600586,0.239570278,1230.9964,11.8535,79.00739011,0.518305048,4.182042773,0.348034686,1.532402996,0.330999353,1.073420694,1.073420694,1.073420694,0,2.203457513,1.652640973,2.183974347,0.026576348,0.248378522,-0.318445547,2.638575794,0.388100332,4,0,0.28815106,2.23838353,0,0,0,0,-2684043190,-2.69264E+11,-17440435961,-0.535607623
J-1,405.5907,3.3614,18.85133219,0.680676657,76.0559,8.391,16.03372494,0.256965243,0.9862,0.2065,0.865782202,0.115040437,1,0.5495,0.984209037,0.054763228,27.2547,2.9463,5.919060826,0.275973457,21.4022,1.9186,4.084123419,0.27022622,166.4649633,18.1282267,35.12683521,0.256546191,1988.68985,20.7028,92.65236558,0.6768137,3.867039067,0.317565114,1.329798463,0.306139691,1.073420694,1.073420694,1.073420694,0,2.203404946,1.583730131,2.191084908,0.020182508,0.224122442,-0.183448754,1.833133329,0.283339821,4,0,0.184137746,2.858838515,0,0,0,0,-2352646227,-3.40195E+11,-14150739139,-0.697185401
K-3,154.9912,4.5641,21.82204568,0.573208096,52.1671,8.6243,17.7961278,0.265985824,0.9757,0.258,0.822731178,0.125407663,1,0.5937,0.989133243,0.040825957,18.6919,2.9898,6.977634218,0.297152505,11.8787,1.9706,3.993163218,0.271985553,102.0782563,18.9986571,39.0612171,0.265292056,751.9287,24.76225,107.0151735,0.571383079,3.891637365,0.361970989,1.683938421,0.341440324,1.073420694,1.073420694,1.073420694,0,2.203342487,1.758507368,2.195564482,0.016280929,0.212634345,-0.232837854,1.546852225,0.266246368,4,0,0.156115271,2.997121505,0,0,0,0,-1889933349,-59950828170,-8903095942,-0.57159501
F-5,342.3042,4.7997,28.6133775,0.569163545,68.9502,8.8425,19.87403882,0.254195952,0.9811,0.2374,0.856342472,0.119032288,1,0.5606,0.9867753,0.048030234,26.645,3.1218,7.505384194,0.270418023,16.6508,1.9514,4.834681029,0.281751227,151.8681691,19.47439409,43.57617754,0.253499337,1660.6376,26.4687,140.4078634,0.565026222,3.90641034,0.301732061,1.490001511,0.323387477,1.073420694,1.073420694,1.073420694,0,2.203093625,1.636930875,2.193173111,0.019072868,0.188952832,-0.239867628,1.582381149,0.251846336,4,0,0.165889407,2.985831187,0,0,0,0,-5647259322,-3.77572E+11,-32097577062,-0.568749578
G-3,174.0252,2.6315,23.72348869,0.830788718,51.9592,7.0636,17.41795484,0.369144802,0.9847,0.2344,0.865583094,0.107183862,1,0.5835,0.987647709,0.04934158,20.7793,2.9739,6.500882003,0.391822279,12.0958,1.3961,4.357597519,0.361618926,114.2760843,15.56159342,38.19656253,0.369406757,863.5799,12.77125,116.2671184,0.824670176,3.76342696,0.42171542,1.365193203,0.299040576,1.073420694,1.073420694,1.073420694,0,2.203660672,1.608126476,2.193265657,0.019157877,0.216319567,-0.180425004,1.586230046,0.255634498,4,0,0.150338808,3.159462016,0,0,0,0,-2937284124,-1.90798E+11,-27433266013,-0.813686843
E-8,308.4247,3.1423,15.92768446,0.410928147,71.5104,6.9039,14.79367493,0.174093888,0.9709,0.302,0.888116879,0.0950469,1,0.5725,0.986163597,0.051423307,24.0094,2.4515,5.310670349,0.19548851,19.7681,1.8242,3.975065119,0.1681141,147.5226995,15.21019028,32.43273327,0.173726375,1546.87505,15.2521,78.15615329,0.409459116,2.89547901,0.474861405,1.18920806,0.217346869,1.073420694,1.073420694,1.073420694,0,2.203165437,1.718970797,2.192490204,0.018095654,0.227572146,-0.145698252,1.591034374,0.255217824,4,0,0.148904406,3.187483195,0,0,0,0,-2756310289,-2.56351E+11,-13779175155,-0.408861485
E-6,244.8236,3.706,30.03504616,0.63671847,62.4756,8.3693,20.34899439,0.299729634,0.9802,0.2207,0.840079292,0.119257853,1,0.5293,0.988482975,0.043526397,25.4133,2.9182,7.861027901,0.321015154,13.0598,1.7542,4.711805138,0.315279971,137.3652837,18.43030775,44.65839006,0.299993475,1202.2438,17.984,147.0911149,0.633882077,3.839128027,0.386639706,1.605798056,0.323362488,1.473931188,0.884522783,1.071722114,0.016165337,2.203112282,1.577371646,2.194548438,0.018040086,0.189640042,-0.265022003,1.565638103,0.255978042,4,0,0.150015808,3.14580608,1,0,0.000158078,79.5361553,-4472130281,-2.92956E+11,-34117010321,-0.639018887
E-2,294.1658,3.8718,18.3527633,0.803777058,66.689,8.2767,15.78517418,0.3065463,0.9758,0.1953,0.859487901,0.104028757,1,0.5173,0.990742288,0.041089517,22.1121,2.9324,5.961777187,0.334546363,17.2171,2.0377,3.866699061,0.291606206,137.6887495,18.22285798,34.63536322,0.302972646,1429.5766,22.66165,89.95228711,0.805724511,3.648817965,0.399879329,1.425684767,0.320516373,1.073420694,1.073420694,1.073420694,0,2.203522525,1.316667714,2.195575117,0.016931859,0.226366858,-0.189692908,1.454852435,0.251046231,4,0,0.129363971,3.406142745,0,0,0,0,-6390882927,-4.75693E+11,-30787797000,-0.788357586
I-10,283.6882,5.559,45.26228469,0.718049463,86.8561,9.1758,24.84087859,0.342871459,0.9837,0.1824,0.834753189,0.143103481,1,0.497,0.980539209,0.059624262,30.7109,3.1946,9.503997794,0.352199564,17.2795,2.2802,5.790669157,0.369725895,157.7824391,20.20823428,54.25633849,0.337743835,1396.6818,28.8246,223.9418772,0.713552597,3.724524931,0.437241674,1.597323689,0.331931861,1.272160258,0.943416472,1.072921001,0.010703217,2.202839805,1.455849668,2.187512484,0.02714085,0.164790941,-0.300594849,1.622799163,0.251894768,4,0,0.209480122,2.679573676,0,0,0,0,-1743864444,-85338845266,-13710830691,-0.723538859
A-4,227.7539,5.7094,39.23204033,0.596290613,59.6079,9.016,23.20086161,0.29064783,0.9829,0.2628,0.84755886,0.122709769,1,0.5487,0.986519896,0.047940536,24.6207,3.1803,8.887367047,0.308244332,13.7832,1.9673,5.46131943,0.313853885,131.2501592,19.85938726,50.87173045,0.290506566,1108.6545,27.69715,192.5929042,0.59152198,3.681340015,0.31966318,1.579250777,0.315835253,1.073420694,1.073420694,1.073420694,0,2.203569139,1.664407254,2.193198978,0.019507981,0.168197505,-0.23545533,1.439162172,0.229581253,4,0,0.155440415,3.083734775,0,0,0,0,-11793002958,-4.62053E+11,-82236918612,-0.597142222
E-5,516.7646,3.441,23.37271167,0.83989077,82.8345,8.0324,17.55522635,0.355960388,0.983,0.2549,0.851128719,0.114748896,1,0.5913,0.9878155,0.04673661,28.8484,2.8193,6.667996882,0.382128128,24.8361,1.9036,4.232518832,0.350412527,182.4070579,17.69274621,38.50781112,0.356336759,2509.40175,20.1735,114.5604963,0.836890682,3.689587027,0.348217348,1.467740106,0.323136848,1.073420694,1.073420694,1.073420694,0,2.203186687,1.68015654,2.19358545,0.018610627,0.21701633,-0.208000956,1.603740285,0.264405713,4,0,0.161545482,3.037293875,0,0,0,0,-4240497331,-6.13607E+11,-29336574426,-0.827989442
I-1,120.2701,3.2867,18.39263192,0.569053589,43.7523,7.9122,15.93676856,0.262963563,0.9862,0.1984,0.856665542,0.108777998,1,0.5357,0.988581632,0.04673611,17.9708,2.8742,6.026587239,0.297173749,10.8263,1.8846,3.892437699,0.248339179,88.9936712,17.42821593,34.96799752,0.263804996,583.50815,19.21555,89.99849244,0.564211469,3.890956976,0.382468635,1.430761848,0.311515415,1.073420694,1.073420694,1.073420694,0,2.203497934,1.520781879,2.193887663,0.018445115,0.226204811,-0.174546014,1.61667223,0.264471038,4,0,0.153161045,3.096544047,0,0,0,0,-3073893495,-1.24492E+11,-17505801337,-0.563941006
G-2,193.352,4.4079,38.93655209,0.601078006,58.9,8.7059,22.75685627,0.296220084,0.9851,0.2732,0.866484484,0.10694637,1,0.6078,0.992040264,0.034982466,25.6863,3.0224,8.629438162,0.309290969,14.9688,2.2005,5.520282691,0.328625637,129.5593932,19.18359266,50.00698076,0.296557938,937.9205,25.218,190.1010335,0.59803605,3.735828763,0.405374069,1.510500167,0.321625358,1.073420694,1.073420694,1.073420694,0,2.203516312,1.7684595,2.197383498,0.014017572,0.165389717,-0.253715743,1.118531716,0.198796809,3,0,0.101380589,3.800033761,0,0,0,0,-5456059137,-2.55134E+11,-49905868894,-0.602796729
F-6,307.2399,3.695,19.96498356,0.680216568,79.5698,7.6851,16.45773579,0.290922756,0.9741,0.1975,0.862490398,0.106009802,1,0.5317,0.988851192,0.045745955,26.1801,2.6516,6.17012143,0.315629468,15.5361,1.8701,4.081488918,0.281714489,148.524194,16.92592269,36.09252483,0.287751372,1542.71385,17.9218,97.89023391,0.679224987,3.73150421,0.400649485,1.394225376,0.313127913,1.073420694,1.073420694,1.073420694,0,2.203168102,1.485272982,2.194241324,0.018659358,0.2202886,-0.186475649,1.52200907,0.254740896,4,0,0.151165837,3.090140001,0,0,0,0,-3837456233,-3.13639E+11,-19529891349,-0.680608059
A-6,396.0172,5.7663,43.16009396,0.637230198,91.597,9.1784,23.93230463,0.288618954,0.9852,0.2241,0.874531203,0.106483035,1,0.5441,0.988541486,0.0448611,27.3868,3.2828,8.954588861,0.297023611,18.9681,2.1773,5.941304949,0.312093326,162.8683306,20.2124488,52.50840931,0.28666905,1966.8754,27.96655,211.5768003,0.637805142,3.628448106,0.500104265,1.449791001,0.288509182,1.073420694,1.073420694,1.073420694,0,2.20331852,1.644466295,2.194807005,0.017501978,0.156724848,-0.209224479,1.225433885,0.198277751,4,0,0.121120617,3.45308629,0,0,0,0,-9924691369,-6.42557E+11,-73229800547,-0.636491888
