TMA.core,Ki67_density,GATA3_density,CK20_density,CK56_density,CyclinD1_density,P16_density,P53_density,P63_density,Her2Neu_density,P53_P16.AUC,Ki67_Cyclin.AUC,GATA3_CK56.AUC,Her2Neu_CK56.AUC,CK20_CK56.AUC,P63_CK56.AUC,Her2Neu_GATA3.AUC,CK20_GATA3.AUC,P63_GATA3.AUC,Her2Neu_CK20.AUC,P63_CK20.AUC,Her2Neu_P63.AUC,P16_P53.AUC,Cyclin_Ki67.AUC,CK56_GATA3.AUC,CK56_Her2Neu.AUC,CK56_CK20.AUC,CK56_P63.AUC,GATA3_Her2Neu.AUC,GATA3_CK20.AUC,GATA3_P63.AUC,CK20_Her2Neu.AUC,CK20_P63.AUC,P63_Her2Neu.AUC
K-7,1342.395891,1232.019062,0,1155.537328,3813.23678,29.74665665,71.74900762,595.730928,162.5151239,0,14395.26438,30872.24213,9058.504453,0,61127.92916,4192.834841,0,42292.82645,0,0,3756.29752,-8377.685129,6010.670065,22590.59629,843.5320098,0,53076.59031,-4268.425411,0,34048.76794,0,0,-5266.634457
D-2,2446.87398,3920.711846,231.4915932,567.9027444,163.6866536,6984.951603,12.4118156,3533.566984,676.9058737,3211.682503,6866.938143,9922.011111,13940.49146,43679.2397,10387.49336,8843.212798,12009.55478,11405.57236,10761.09325,14871.25712,6543.848526,-4920.701838,-1479.119388,1632.54734,6007.659148,36067.51821,2009.669325,387.6777919,3423.589541,2977.545835,2393.339796,6493.327547,-1866.521055
A-1,433.1021153,2657.2893,219.1522974,1923.26041,2330.571114,1303.226991,506.0737712,2846.349086,54.90950456,61362.93444,29710.83406,30701.69438,20771.71417,20322.73335,34017.85531,22203.26804,15995.94368,33966.22632,58928.4066,23742.22417,29239.7381,52064.93743,21273.76606,22355.77109,12557.00968,11652.16705,25730.65817,13663.46519,7212.188612,25528.24124,53213.84238,16397.58135,20632.53155
C-12,23.49177229,697.2437039,530.2058399,542.4022998,1361.019896,857.0705117,46.4436984,352.3326482,456.1071976,122511.1764,130293.2723,55576.16889,77069.6363,72399.06117,79481.21671,63518.67287,56397.63208,61935.8277,81832.26484,62362.86061,72027.15775,116448.8159,124999.5063,49116.70799,70507.66347,66259.62309,70239.63034,54512.16545,46966.17187,51191.86362,73851.77719,51769.03243,66144.88724
F-9,2891.32729,2534.354712,908.414371,1853.874969,2745.236979,5269.123312,1023.346854,2053.042194,1544.765258,12022.65428,14761.9855,14989.12253,20075.43297,23679.98741,22986.54221,17359.94521,16482.57798,17427.92687,23732.36969,24493.02136,23260.61451,3651.736201,6395.750666,6654.667835,11774.3528,15372.27227,14601.35402,8931.885504,8169.267745,9047.721534,15293.79398,15991.40962,14873.6695
H-10,1128.043188,4085.991538,1457.308476,1594.321692,4623.746804,2757.169906,5.667129369,4226.304061,4382.322058,4493.173807,9868.597668,8572.630258,8768.149183,9029.463144,9276.919719,9454.907875,9378.543069,9390.956363,8348.559216,9735.700519,9111.506546,-4239.873167,1460.715211,228.3911475,405.9109755,795.7351744,981.0004151,1070.83567,978.0795881,1016.160995,-33.57895527,1384.295617,719.3064005
D-1,3775.489298,355.4737953,0,3660.25035,5470.399885,3742.851997,4211.941789,4278.592115,4.63025718,10303.65999,12103.59484,9114.899883,9734.583836,0,10856.96345,2238.316818,0,10694.2121,0,0,10734.90392,1941.450654,3705.488605,744.2463201,1783.094772,0,2509.392477,-6139.368311,0,2372.46838,0,0,2391.038782
F-8,14.13296919,534.3186078,0,538.065175,174.100676,103.9156686,1.956952141,229.81623,21.07472973,0,0,24899.50852,12899.20757,0,28458.19054,18315.82269,0,18832.7836,0,0,14461.24167,-8377.685129,-8377.685129,15163.76159,4697.299727,0,22099.22863,7560.272092,0,11162.19157,0,0,6588.355854
G-11,171.0202069,512.4327115,0,1268.915785,1527.789005,1565.026452,664.7093247,364.5674454,21.92461319,26953.70818,15915.57436,16473.15268,7763.129118,0,33097.25856,12223.38355,0,21206.75817,0,0,7963.84976,18584.46571,7485.675986,8112.112916,-613.8930134,0,24785.34122,3823.966855,0,12825.7605,0,0,-413.8353695
F-2,1609.647489,2706.344443,8.323149036,186.9797442,3553.470647,5218.08554,3163.834986,67.71530808,921.9814398,11553.71696,8961.572792,9005.681918,33536.32703,301995.0026,63974.71125,12825.25,1350.328339,6180.826559,46590.68345,36673.18762,23340.03904,3161.122332,590.5247604,1194.541648,26697.57602,322489.0441,47515.91478,4311.436634,-7119.633058,-2179.568262,39535.46781,28295.50249,14484.87474
