TMA.core,Density of nucleus_mean,Density of nucleus_max,Density of nucleus_min,Density of nucleus_CoV,Density of clusters,Number of triangles,Perimeter of triangle_mean,Perimeter of triangle_max,Perimeter of triangle_min,Perimeter of triangle_CoV,Area of triangle_mean,Area of triangle_max,Area of triangle_min,Area of triangle_CoV,COrE_corrln_mean,COrE_IDM_mean,COrE_dissimilarity_mean,COrE_entropy_mean,COrE_energy_mean,COrE_diffEntropy_mean,COrE_contrast_mean,COrE_diffVariance_mean,COrE_Homogeneity1_mean,COrE_Homogeneity2_mean,COrE_SumAverage_mean,COrE_SumEntropy_mean,COrE_SumVariance_mean,COrE_corrln_max,COrE_IDM_max,COrE_dissimilarity_max,COrE_entropy_max,COrE_energy_max,COrE_diffEntropy_max,COrE_contrast_max,COrE_diffVariance_max,COrE_Homogeneity1_max,COrE_Homogeneity2_max,COrE_SumAverage_max,COrE_SumEntropy_max,COrE_SumVariance_max,COrE_corrln_min,COrE_IDM_min,COrE_dissimilarity_min,COrE_entropy_min,COrE_energy_min,COrE_diffEntropy_min,COrE_contrast_min,COrE_diffVariance_min,COrE_Homogeneity1_min,COrE_Homogeneity2_min,COrE_SumAverage_min,COrE_SumEntropy_min,COrE_SumVariance_min
H-7,7566.555135,10623.98293,7566.555135,0.297324603,23.88964513,8352,51.48158847,771.5722931,11.4392663,0.767044763,124.7425611,14759.725,3.125,2.811096237,-0.031212812,0.000234788,4.751499179,5.041218239,0.094912355,2.532768262,37.84092346,0.002607634,-0.006195732,0.173040723,13.60018249,3.103459158,145.9488499,-0.028671197,0.000498969,5.226594019,5.302980541,0.125684379,2.626418577,44.14719461,0.004273292,-0.00443382,0.201242793,14.37908323,3.206260365,164.5688291,-0.03549836,0,3.608467826,4.532901675,0.078887553,2.296957578,22.86872074,0.001979868,-0.009078931,0.152577297,12.82344722,2.853216481,120.9301883
B-4,6847.846455,8150.648687,6847.846455,0.2348095,18.42847256,6794,51.30489704,601.9853292,8.823517459,0.560752347,116.3810759,1864.105,2.01,1.075691577,-0.035741235,0.000135412,4.235981192,4.839213675,0.10470073,2.396037897,30.20204567,0.003373593,-0.008719539,0.196657327,13.51005693,2.981410892,140.1787152,-0.023828056,0.000406236,5.176982938,5.364276043,0.136595905,2.618962964,43.36306167,0.004840202,-0.004365818,0.236995775,15.08224673,3.219979954,182.0580148,-0.046143601,0,3.474985947,4.295318037,0.079410176,2.230541847,22.49690838,0.002005703,-0.013367964,0.152306912,12.12254075,2.771776276,108.3177891
F-1,12052.18105,24029.89008,12052.18105,0.327351135,120.9549209,6779,56.67958803,1035.126741,10.9181878,0.917569625,145.1035507,12602.94,1.115,2.473605289,-0.044607286,0.000748367,5.127215848,4.929758221,0.100735849,2.565384431,43.7998215,0.002367522,-0.009281327,0.208111408,14.42792508,3.121866922,170.4793423,-0.021480692,0.007412898,7.021497405,5.371550448,0.148789087,2.810918757,80.39733136,0.003921289,-0.005129003,0.265083623,19.24470588,3.357904741,305.7705695,-0.08345149,0,3.789734075,4.119683908,0.077182209,2.292395259,22.59369202,0.000984808,-0.017530879,0.162162746,11.99210111,2.850823122,112.9239375
B-2,7729.313602,9318.199025,7729.313602,0.183914039,43.28687164,9782,43.36027355,1124.353284,8.093696904,0.934886635,98.07210846,11359.125,1.245,2.476910221,-0.049852755,0.000134852,5.107614125,4.814982643,0.107541963,2.535925111,43.78172835,0.002642343,-0.010426268,0.215811376,13.67884335,3.072853328,154.7501076,-0.026569306,0.000869565,5.90919674,5.355270545,0.166911671,2.688677924,63.21769499,0.004744761,-0.004462541,0.268307986,16.7373913,3.247194814,228.0950667,-0.080729145,0,3.610817663,3.990463764,0.081512803,2.251036031,23.6585675,0.001498527,-0.018548964,0.153840818,11.32513966,2.796445517,98.12142384
C-5,11882.28148,14588.46723,11882.28148,0.32208668,13.03458721,14227,36.27401814,708.3086364,8.910692618,0.789905299,61.75404126,5669.22,0.305,2.43337629,-0.02893366,0.000803503,5.249655963,5.255031521,0.085736084,2.633980252,45.85180144,0.001997193,-0.00524552,0.164768013,14.67044689,3.216561765,174.4711856,-0.027388325,0.001342861,5.355810273,5.278802045,0.088311726,2.65080753,48.78758813,0.002016326,-0.004606765,0.174359716,14.77842675,3.230968566,174.6379557,-0.030478996,0.000264145,5.143501653,5.231260997,0.083160442,2.617152974,42.91601476,0.00197806,-0.005884276,0.155176309,14.56246703,3.202154963,174.3044154
A-9,8672.75477,22161.06087,8672.75477,0.554907099,60.68426178,5547,61.1422702,1146.429914,13.4167385,0.702976403,172.8824545,3516.915,3.18,1.334782409,-0.046524642,4.83E-05,4.962862516,4.859317208,0.105197301,2.543407079,39.93649893,0.002364109,-0.009430176,0.209243415,14.09258942,3.094523076,159.6534816,-0.019804724,0.000245761,5.853937947,5.284661221,0.133258822,2.706394934,52.90501193,0.003537249,-0.005715409,0.254584247,17.14415437,3.282212757,232.4875318,-0.090323156,0,4.045611548,4.267189842,0.081267632,2.387927774,28.36252427,0.001455086,-0.015580954,0.170297321,11.41705579,2.874383526,110.4851482
B-3,7178.181656,11446.01939,7178.181656,0.347517116,46.9455252,6104,62.5131242,600.0752414,13.54630839,0.499829146,166.7407765,2458.485,3.510000001,1.027345808,-0.040064711,0.000322897,5.135781589,4.899680549,0.10336686,2.589816233,44.40178151,0.002333266,-0.009602125,0.21051612,15.3705947,3.140312319,191.5288655,-0.020261431,0.000929368,6.048230504,5.265523372,0.134743567,2.736072316,56.52173913,0.003996425,-0.005020252,0.248010261,17.22101449,3.318464393,245.7488645,-0.060609136,0,4.030065569,4.411906141,0.082585311,2.391013711,30.8114505,0.0012962,-0.014286037,0.161232581,14.13310868,2.939951025,159.4381426
C-8,6708.139002,8060.483141,6708.139002,0.285101937,14.21585348,6845,49.9456492,1237.259039,12.97741203,0.801778638,110.0808481,15709.755,2.22,2.864256353,-0.035626675,0.000173777,4.936511916,5.026212583,0.092813396,2.574620719,41.17188822,0.002389345,-0.006571977,0.178317463,13.48685109,3.129724095,145.7372629,-0.032689039,0.000347553,5.202708042,5.215236292,0.100693661,2.628010915,44.47851328,0.002794145,-0.004781327,0.199518071,13.75494737,3.192167076,149.2794223,-0.038564311,0,4.670315789,4.837188874,0.084933132,2.521230523,37.86526316,0.001984545,-0.008362626,0.157116854,13.21875482,3.067281114,142.1951034
I-8,6971.037555,9826.177441,6971.037555,0.277793688,73.50350679,6350,60.70359375,732.2314467,10.17882989,0.800677318,178.641652,15762.48,0.34,2.803855857,-0.046286341,0.00041004,5.004772657,4.80073961,0.106237019,2.539469533,41.94719041,0.002565408,-0.010067001,0.211634521,14.20866856,3.079208648,163.1124775,-0.026280014,0.001639344,6.484153005,5.310992468,0.139219597,2.788678247,64.52786885,0.005609372,-0.004479335,0.258517054,16.72240437,3.321446018,237.6419588,-0.077408604,0,3.395409268,4.24177497,0.079277188,2.148266013,23.42485925,0.001072324,-0.015469819,0.153363655,12.57074341,2.703896445,120.8605299
D-9,5519.461946,5519.461946,5519.461946,NA,5.339902693,9505,48.343757,1029.152892,12.45098688,0.518222731,98.3920889,5604.53,0.255,1.258137413,-0.017702964,0.000202017,4.095426431,4.85834575,0.116423211,2.416888898,31.29108807,0.003771154,-0.006742659,0.17981842,14.58775781,2.983908173,164.8517962,-0.017702964,0.000202017,4.095426431,4.85834575,0.116423211,2.416888898,31.29108807,0.003771154,-0.006742659,0.17981842,14.58775781,2.983908173,164.8517962,-0.017702964,0.000202017,4.095426431,4.85834575,0.116423211,2.416888898,31.29108807,0.003771154,-0.006742659,0.17981842,14.58775781,2.983908173,164.8517962
