TMA.core,TMA.set,Kcross.Cancer2lympho,Kcross.lympho2Cancer,Kcross.Cancer2Stromal,Kcross.Stromal2Cancer,Kcross.Lympho2Stromal,Kcross.Stromal2Lympho,cancer ratio,stromal ratio,lymphocytes ratio,lymphocyte.dens,cancer.dens,stroma.dens,cancer.to.lympho.avgCount,lympho.to.cancer.avgCount,cancer.to.stroma.avgCount,stroma.to.cancer.avgCount,stroma.to.lympho.avgCount,lympho.to.stroma.avgCount,ShannonH,DoC_TL_max,DoC_SL_max,DoC_TL_min,DoC_SL_min,DoC_TL_mean,DoC_SL_mean,DoC_TL_Std,DoC_SL_Std,DoC_LT_max,DoC_ST_max,DoC_LT_min,DoC_ST_min,DoC_LT_mean,DoC_ST_mean,DoC_LT_Std,DoC_ST_Std,DoC_TS_max,DoC_LS_max,DoC_TS_min,DoC_LS_min,DoC_TS_mean,DoC_LS_mean,DoC_TS_Std,DoC_LS_Std,localized_TL,localized_SL,localized_LT,localized_ST,localized_TS,localized_LS
H-7,1042,11054.99679,2829.772372,10091.31964,1597.615281,31620.75858,23030.60027,0.526176948,0.042410714,0.431412338,9809.106111,11963.78746,964.3006478,97.70555033,80.10875434,100.8660287,8.129965291,8.702257761,88.5215311,1.174461255,0.920369878,0.951519535,-0.911068475,-0.765761506,-0.078080925,0.067118354,0.47624382,0.413579469,0.907283237,0.91583192,-0.900088727,-0.858179993,-0.03814096,0.00016113,0.446912676,0.366501421,0.910331428,0.9564506,-0.871087148,-0.765167034,0.122882491,0.172831353,0.501671234,0.50540725,0.010352941,0.036705882,0.008101852,0.043209877,0.033653846,0.091346154
E-13,1042,11994.02148,3605.274901,18790.77749,10413.09236,15074.26,6638.134858,0.102243472,0.007828508,0.88992802,77849.31315,8944.076242,684.823926,72.7794899,633.4743063,72.88590604,5.580678314,5.662120675,643.6577181,0.541509567,0.917868194,0.96473703,-0.937241315,-0.935841255,-0.220874344,-0.019677299,0.455682277,0.376650531,0.938639577,0.925225325,-0.954128546,-0.802220193,-0.317811963,-0.066629683,0.506072399,0.358324622,0.930349897,0.967591282,-0.862066548,-0.927307748,-0.04843437,0.206155222,0.528790921,0.610905665,0.004428175,0.062643916,0.016452442,0.051928021,0.054054054,0.162162162
G-1,1042,25635.91344,19416.80163,38792.84302,34148.80376,11187.28084,2806.60596,0.595775674,0.165331391,0.238892935,1814.47797,4525.131036,1255.751522,35.54878049,14.25427873,39.70044053,11.01711491,10.59756098,15.31718062,1.327859991,0.941320256,0.945045444,-0.732423305,-0.646552509,0.293489076,0.187809119,0.458487557,0.443585348,0.927628996,0.934049377,-0.811090994,-0.768071568,0.143941535,0.121031901,0.450012763,0.43734503,0.925734398,0.910455754,-0.70101416,-0.596480424,0.250596454,0.144509652,0.463397103,0.439172068,0.103975535,0.042813456,0.080783354,0.068543452,0.075221239,0.061946903
D-4,1042,16073.62471,7707.716609,15198.38701,6417.195146,15484.80778,7107.122651,0.801175842,0.021378942,0.177445216,6359.76649,28714.72882,766.2369266,203.1875,45.00250167,211.15,5.634589726,5.663403614,47.00625,0.793696794,0.938951849,0.937929517,-0.926437325,-0.642907015,0.059792131,0.012014017,0.528892512,0.390374663,0.934780467,0.940762303,-0.926437325,-0.893548616,-0.029607112,-0.047052312,0.437004926,0.335305261,0.938323632,0.945462382,-0.907802522,-0.784792755,0.190299421,0.118983798,0.564742311,0.509172707,0.054257724,0.102486812,0.016680567,0.097914929,0.094339623,0.094339623
A-12,1042,12830.44268,4468.131272,16483.0412,8129.370853,17354.46066,8996.027014,0.443225357,0.065308255,0.491466388,12090.0674,10903.3386,1606.582309,100.2600992,111.172888,92.38666667,13.61335953,13.77958894,103.696,1.259673478,0.943551051,0.941517855,-0.893088713,-0.883524214,0.078804729,0.070221274,0.496686447,0.413120547,0.943813485,0.947504002,-0.901645561,-0.795989939,0.052641585,0.07691683,0.492231678,0.397390468,0.932240685,0.945270592,-0.77645588,-0.882090728,0.190684314,0.080088254,0.481512309,0.508454459,0.041474654,0.020560085,0.040487421,0.029481132,0.07486631,0.042780749
E-3,1042,8442.554686,105.3703039,16912.4209,8846.631496,13187.74755,4729.65381,0.343471964,0.056072833,0.600455204,25490.89847,14581.28583,2380.438831,104.8342522,183.2698795,117.8653137,19.24216867,18.42057202,197.2546125,1.166360963,0.958143646,0.96255861,-0.937091049,-0.936820973,-0.277552216,0.036057003,0.455749615,0.444711946,0.949664499,0.941903094,-0.935015032,-0.822726104,-0.179696953,0.012224686,0.4807421,0.394976991,0.926065428,0.9647549,-0.856729131,-0.942413934,0.079824869,0.045122883,0.489484144,0.560987957,0.008788558,0.031880062,0.012654414,0.031937331,0.038817006,0.077634011
G-13,1042,19440.25397,10811.66394,26519.19361,18346.12155,39986.08328,31611.73647,0.612676056,0.131924883,0.255399061,2349.816382,5636.967607,1213.783829,45.28676471,18.8789272,47.90391459,10.31494253,10.02757353,19.41281139,1.314220832,0.931485258,0.95325233,-0.791200436,-0.657947859,0.284443433,0.19329745,0.476065094,0.44713357,0.929382601,0.92307951,-0.834049618,-0.741684247,0.147191815,0.114842426,0.450599676,0.409291044,0.932198406,0.942455686,-0.776799508,-0.727081825,0.227797739,0.153718007,0.469674921,0.469864762,0.104972376,0.060773481,0.05291411,0.045245399,0.075,0.057142857
D-13,1042,15582.13587,7302.506937,17411.08658,9238.639629,29183.62685,20602.37667,0.675862069,0.026986507,0.297151424,4414.413962,10040.45315,400.9054052,84.51463169,37.15794144,83.53333333,3.335403727,3.554994955,39.14444444,1.028862942,0.920736705,0.946351765,-0.845808233,-0.853811864,0.05772926,-0.070945498,0.44253462,0.353610508,0.930427144,0.937118554,-0.841908154,-0.933217122,0.019596987,-0.026632368,0.406007907,0.330068791,0.917300337,0.928119824,-0.804777179,-0.832571913,0.116838289,-0.004071056,0.541910636,0.561702835,0.023232323,0.185858586,0.012871727,0.20505992,0.033707865,0.078651685
L-13,1042,15776.79783,7268.449446,18089.28345,10039.11747,17120.34105,8741.748337,0.773859168,0.025139998,0.201000834,7266.639879,27976.77891,908.8684141,226.4991108,58.83063895,217.2322275,7.057274827,7.122703023,56.9478673,0.868760524,0.914705948,0.933172841,-0.903340477,-0.744870138,0.032311524,-0.006348139,0.502659012,0.387100353,0.917003094,0.93595809,-0.932974903,-0.875045991,-0.024473672,-0.01359306,0.438931089,0.360465085,0.945327954,0.900227481,-0.872176416,-0.81087065,0.170738865,0.116870782,0.501486221,0.488745611,0.03024911,0.03262159,0.006621497,0.029565753,0.052380952,0.042857143
C-8,1042,9097.170215,796.6333599,12667.89742,4402.721488,10771.09552,2337.716281,0.233328654,0.11329496,0.653376386,40438.81225,14441.19166,7012.058764,123.57789,346.0478339,114.413259,55.55625752,56.84615385,327.826518,1.211054977,0.928817951,0.962110071,-0.946450817,-0.931706964,-0.301222736,-0.087631224,0.440471012,0.458131261,0.931951525,0.936335305,-0.939579373,-0.917782624,-0.278226916,0.012141838,0.462614567,0.429763358,0.916367124,0.963637581,-0.934884164,-0.938680062,0.023617913,-0.138645962,0.444149894,0.509779316,0.00376061,0.010637155,0.005717725,0.007523322,0.009919405,0.021078735
J-1,1042,13467.07334,5135.946484,13834.1638,5684.980983,28957.36936,20921.678,0.348648408,0.060130252,0.59122134,28608.89022,16870.91338,2909.671345,160.6505206,272.4270727,133.189911,22.97108495,23.95065641,235.4881306,1.221633786,0.934733705,0.970705514,-0.940996131,-0.893589303,-0.14377097,0.170226913,0.515673279,0.436773058,0.951575754,0.951879994,-0.945610342,-0.930723235,-0.150230897,0.006685338,0.516195016,0.412604272,0.963036002,0.971826954,-0.902480691,-0.85879043,0.002877115,0.15443183,0.479221623,0.532347889,0.025656505,0.037881075,0.02380343,0.011773739,0.028231798,0.087667162
K-3,1042,11475.72865,2886.722459,9801.072193,1095.052287,14028.08341,5656.047314,0.477649194,0.121624688,0.400726118,7204.716538,8587.728376,2186.708983,73.80804077,61.92066508,71.34514925,18.16674584,18.5583239,61.14365672,1.397801499,0.953016618,0.952509842,-0.860199899,-0.877690693,0.017632821,0.000278862,0.472415981,0.405645744,0.947394101,0.956044355,-0.843928222,-0.872605821,0.060314267,-0.018856152,0.45809234,0.41031072,0.939283432,0.952509842,-0.873248151,-0.836154505,-0.021657203,0.028434652,0.47851698,0.461064594,0.039093484,0.013597734,0.032319392,0.015209125,0.029906542,0.03364486
F-5,1042,18943.96762,10362.44347,13770.71824,5415.016347,15717.59062,7485.280043,0.667721519,0.046469021,0.28580946,7262.733776,16967.54062,1180.829093,144.2167832,61.72985782,144.5842294,10.06211025,10.27331002,63.1827957,1.095608451,0.93781071,0.938552446,-0.915344206,-0.807796873,0.06667298,0.026437867,0.519982055,0.391032848,0.938295801,0.933387047,-0.923845855,-0.87217359,0.0744077,-0.039468594,0.480897476,0.402800702,0.914797819,0.938552446,-0.905383736,-0.822591299,0.029173729,0.062307485,0.548446926,0.494003005,0.050728863,0.018658892,0.030688623,0.01247505,0.043165468,0.028776978
G-3,1042,9615.933422,1136.934407,11742.79825,3615.604373,20759.95768,12591.98354,0.406454577,0.046284599,0.547260825,20418.07777,15164.65419,1726.859463,119.203148,160.4970331,122.5831266,13.95902797,14.62602308,172.9354839,1.16292153,0.953594237,0.971622868,-0.926665307,-0.82615102,-0.219960102,0.163407876,0.465093879,0.427990118,0.933845244,0.946424282,-0.93203662,-0.876359632,-0.182779161,-0.0051058,0.441844295,0.367783336,0.937948841,0.977389175,-0.855375475,-0.751523033,0.007590955,0.277741721,0.498818868,0.487728704,0.009235936,0.032115869,0.007348785,0.011588468,0.042288557,0.106965174
E-8,1042,10407.11767,2029.317673,17670.93547,9197.264354,15075.86946,6634.987301,0.129352275,0.015747652,0.854900072,77598.27109,11741.15346,1429.395823,100.0082244,660.9478779,99.50458716,12.11392405,12.38615367,672.3975535,0.65460411,0.926867559,0.945495508,-0.943549005,-0.943570456,-0.287290511,0.014763318,0.444430071,0.405779802,0.91790538,0.925347474,-0.951080778,-0.916433135,-0.347294864,-0.032431904,0.473271796,0.372364389,0.9338369,0.937260539,-0.916433135,-0.946421122,-0.045884888,0.105588088,0.477066571,0.571806386,0.003887105,0.015999099,0.008566108,0.02867784,0.021472393,0.085889571
E-6,1042,8351.299782,15.40506889,14802.49109,6550.372315,22780.49958,14388.38349,0.64843503,0.056591843,0.294973127,7984.869961,17553.02068,1531.931107,129.8542337,59.07069722,147.8575419,12.90443686,13.21757771,68.89385475,1.122294105,0.918806177,0.932892833,-0.899618972,-0.853986657,-0.156211326,0.04825517,0.453730336,0.428614196,0.890232586,0.919048917,-0.906646111,-0.851696846,-0.067447825,-0.023255914,0.395449893,0.346005635,0.905837415,0.943692943,-0.872899505,-0.868965547,0.009818144,0.123051328,0.488598635,0.51458983,0.007506702,0.03002681,0.003169959,0.007559132,0.022408964,0.070028011
E-2,1042,8592.007821,184.1863994,22887.6807,14168.89118,11219.29169,2817.937851,0.259616605,0.0403707,0.700012695,23304.26718,8642.950015,1343.989293,72.2228872,194.7378973,76.44339623,11.88704156,11.02176279,191.1163522,1.031250556,0.938341515,0.952099847,-0.923483529,-0.908839038,-0.0863557,0.043602596,0.465879295,0.394534198,0.938341515,0.954129948,-0.912179113,-0.8841595,-0.099769438,0.026944989,0.496556752,0.390617044,0.959826246,0.963036002,-0.819686104,-0.910616134,0.174840564,0.147169664,0.528108995,0.548817551,0.011608924,0.036096499,0.015655577,0.047455969,0.069400631,0.078864353
I-10,1042,11634.25901,3040.117938,17007.45167,8705.829929,19087.71037,10817.6362,0.721712538,0.0600699,0.218217562,4193.487724,13869.15259,1154.363488,117.6996997,35.58746973,113.4327273,9.441283293,10.51351351,38.19272727,1.02785364,0.954171928,0.943379671,-0.874658541,-0.683481764,-0.001474948,0.062289316,0.510778226,0.420765261,0.939012318,0.914818648,-0.871135256,-0.861335348,-0.01385663,0.047382863,0.426376062,0.367540257,0.917633475,0.943379671,-0.845883183,-0.74105688,0.177152615,0.107457277,0.515304925,0.47269723,0.047094188,0.057114228,0.01967908,0.057826219,0.069343066,0.040145985
A-4,1042,17348.91316,8995.745419,22643.17826,14402.14857,36233.39253,27103.47802,0.800863558,0.0582038,0.140932642,3749.093721,21304.59263,1548.338951,142.0343137,24.99460858,155.6973294,11.31550571,12.1495098,29.41839763,0.880563927,0.943599613,0.947413464,-0.935607609,-0.676957746,-0.054980398,0.118157857,0.54240022,0.452007182,0.940807898,0.905915234,-0.905449516,-0.895389668,-0.087825314,0.025756614,0.387812446,0.375363834,0.93517966,0.94823098,-0.845812805,-0.726146215,0.172615647,0.062341993,0.492077285,0.463849906,0.035582822,0.041717791,0.011432269,0.003882657,0.047619048,0.035714286
E-5,1042,11315.11669,2973.82222,14914.71708,6532.070071,18561.93527,9971.691073,0.425616063,0.054304837,0.520079099,14178.56227,11603.28085,1480.475791,93.53436677,114.2937813,93.64145658,11.94781987,12.1877742,116.7226891,1.190815327,0.931272283,0.949290125,-0.924660289,-0.899826095,-0.108938234,0.089286421,0.46109225,0.442691209,0.944713943,0.933461852,-0.883061858,-0.895783664,-0.065747825,0.00929751,0.443995701,0.37423395,0.902105127,0.940761267,-0.858824609,-0.864516976,0.058611679,0.195260355,0.480585715,0.541445962,0.017554125,0.035400819,0.016446192,0.038970325,0.033707865,0.115168539
I-1,1042,12263.21668,3998.598696,12767.84806,4560.555907,23553.259,15428.44021,0.399036356,0.080157687,0.520805957,14062.46895,10774.52415,2164.366541,90.70955985,118.3893158,98.16211293,19.71862422,18.63779086,121.0928962,1.286796635,0.940368721,0.966624174,-0.929579736,-0.873745488,-0.054142015,0.214382286,0.505466529,0.437683169,0.947413464,0.945652713,-0.948525457,-0.838974645,0.02744673,0.064905964,0.490418435,0.411244208,0.923949568,0.967350478,-0.874137244,-0.814600772,0.117549577,0.299438411,0.49252227,0.496510919,0.03365115,0.054122266,0.033674963,0.019765739,0.04379562,0.136861314
G-2,1042,11628.29227,3169.770578,13357.5319,5109.88685,16352.97739,8019.547453,0.783020812,0.042860087,0.174119102,3577.659181,16088.88153,880.6545677,147.8792899,32.88342105,137.0048077,7.499210526,8.521893491,34.62019231,0.878449383,0.877540983,0.909772821,-0.887511955,-0.846735656,-0.116024124,0.010342596,0.498360911,0.391160791,0.906299038,0.911549565,-0.917740438,-0.836712072,-0.030300633,-0.038012541,0.405876114,0.353454017,0.948124085,0.914723587,-0.812199849,-0.849567548,0.042835523,0.108306849,0.502995336,0.479106092,0.005924171,0.029620853,0.004738089,0.027902079,0.033816425,0.038647343
F-6,1042,12907.11339,4553.168286,12944.85687,4615.867428,11570.98218,3031.939219,0.33259104,0.029604401,0.637804559,19522.49269,10180.24419,906.1580095,78.25795851,150.0720756,85.17699115,7.582118944,7.657629903,164.9778761,1.048470675,0.951616534,0.969283691,-0.907374,-0.915587517,0.007840198,0.012522178,0.451960948,0.395353466,0.94846503,0.935684014,-0.912837512,-0.858538461,0.052899151,-0.017435354,0.494135573,0.392127463,0.936726436,0.960191955,-0.816365388,-0.879723452,0.062483888,0.061486594,0.541830561,0.537755954,0.021774856,0.040673788,0.031914894,0.040583136,0.084444444,0.088888889
A-6,1042,19642.533,11405.92576,17982.13544,9465.070679,47230.59767,39428.59693,0.844153665,0.030364033,0.125482302,3508.855263,23605.02632,849.0679179,169.881016,25.25317965,175.160221,6.300079491,7.10828877,29.37569061,0.709542619,0.906266723,0.975703287,-0.928012148,-0.624425032,-0.06582358,0.130737892,0.531516662,0.435716139,0.923684657,0.954409354,-0.893715127,-0.910759556,-0.029860191,-1.01E-05,0.402459268,0.3497963,0.94304215,0.962663487,-0.870885772,-0.639180677,0.141982733,0.179508992,0.518197067,0.469609026,0.022757697,0.053547523,0.010534685,0.036573246,0.072222222,0.044444444
