TMA.core,Density of nucleus_mean,Density of nucleus_max,Density of nucleus_min,Density of nucleus_CoV,Density of clusters,Number of triangles,Perimeter of triangle_mean,Perimeter of triangle_max,Perimeter of triangle_min,Perimeter of triangle_CoV,Area of triangle_mean,Area of triangle_max,Area of triangle_min,Area of triangle_CoV,COrE_corrln_mean,COrE_IDM_mean,COrE_dissimilarity_mean,COrE_entropy_mean,COrE_energy_mean,COrE_diffEntropy_mean,COrE_contrast_mean,COrE_diffVariance_mean,COrE_Homogeneity1_mean,COrE_Homogeneity2_mean,COrE_SumAverage_mean,COrE_SumEntropy_mean,COrE_SumVariance_mean,COrE_corrln_max,COrE_IDM_max,COrE_dissimilarity_max,COrE_entropy_max,COrE_energy_max,COrE_diffEntropy_max,COrE_contrast_max,COrE_diffVariance_max,COrE_Homogeneity1_max,COrE_Homogeneity2_max,COrE_SumAverage_max,COrE_SumEntropy_max,COrE_SumVariance_max,COrE_corrln_min,COrE_IDM_min,COrE_dissimilarity_min,COrE_entropy_min,COrE_energy_min,COrE_diffEntropy_min,COrE_contrast_min,COrE_diffVariance_min,COrE_Homogeneity1_min,COrE_Homogeneity2_min,COrE_SumAverage_min,COrE_SumEntropy_min,COrE_SumVariance_min
H-11,7525.981798,13063.14397,7525.981798,0.372960268,36.48546858,9348,54.88638998,674.8946964,10.80434721,0.656660768,134.8028787,7401.59,0.76,1.559793628,-0.040188329,0.000455926,4.674175622,4.717195503,0.116698509,2.472287619,38.27324834,0.003103971,-0.009838118,0.204752644,13.77840022,3.006133334,153.2117489,-0.024764764,0.002585315,5.6442606,5.337857113,0.187924742,2.6806303,53.92140641,0.004872455,-0.004429046,0.257564626,16.88831437,3.25556723,236.0067271,-0.084722681,0,3.451342282,3.635951951,0.075266307,2.220464771,21.94127517,0.001710701,-0.018702269,0.153021519,11.94043624,2.595375034,104.2358465
E-4,8666.806586,11605.74238,8666.806586,0.241771285,15.99417462,15575,41.77319658,554.6169877,9.471761985,0.578740569,79.89539069,2184.925,0.200000018,1.309616447,-0.040389549,0.000465623,5.083410187,4.881944607,0.103760193,2.57112054,44.10569607,0.002465116,-0.00955588,0.209183052,15.27096787,3.129321783,188.532658,-0.02735978,0.000983284,6.505408063,5.360833806,0.137025692,2.790075396,67.4100295,0.00376872,-0.004360351,0.241790831,16.13057125,3.296992289,204.0552489,-0.058914452,0,4.169073028,4.318861732,0.079784944,2.40976944,31.54372624,0.00111231,-0.012272705,0.152164139,14.34414946,2.937480243,181.6212314
D-12,12179.35645,14101.5095,12179.35645,0.223191999,8.16545978,22496,34.561494,688.8356288,9.58266388,0.577650508,53.83153561,2884.525,0.180000001,1.381986324,-0.049036037,0.000172138,5.109946602,4.815698821,0.110287429,2.566712835,42.21116437,0.002252307,-0.010116936,0.203301692,15.41193775,3.088722595,191.729906,-0.027476262,0.000344277,5.347165932,5.395175037,0.144440913,2.646584637,45.78798531,0.002667773,-0.004150555,0.257641493,16.45858586,3.237534272,216.2937661,-0.070595812,0,4.872727273,4.236222604,0.076133946,2.486841032,38.63434343,0.001836841,-0.016083318,0.148961891,14.36528965,2.939910917,167.1660458
G-8,8915.472639,10931.62057,8915.472639,0.198408963,28.38570555,3131,94.88296517,664.0923972,11.23073903,0.696262625,420.2103354,8505.875,2.259999992,1.499237025,-0.063244286,5.85E-05,4.707627675,4.150066899,0.155510547,2.380263237,40.49715116,0.003915672,-0.013483807,0.232165709,14.36535337,2.837003506,170.4722661,-0.039537257,0.000409836,5.958071279,4.819947039,0.175155555,2.66028972,58.19496855,0.004969166,-0.009728593,0.251467711,15.81483611,3.169029334,200.3178949,-0.107929596,0,3.941075533,3.796113491,0.103480157,2.30499742,28.43034286,0.001973366,-0.016505057,0.207213939,11.45444126,2.721570434,103.6098926
H-4,8661.521561,13600.03132,8661.521561,0.416006741,17.66620086,11907,46.04578926,707.1200111,9.623555611,0.626804574,98.09909213,8648.42,0.79,1.937815496,-0.041107195,0.001179467,4.885099693,4.824195816,0.108136728,2.532562554,42.53044691,0.002850554,-0.009212685,0.204964195,14.32008628,3.080423706,167.156003,-0.030179106,0.00295858,5.759368836,5.222371411,0.147893986,2.689773847,56.14201183,0.005496486,-0.004860595,0.242126527,16.5581854,3.219529122,228.4129142,-0.0529736,0,3.301942937,4.367737676,0.087131529,2.198416772,21.64396989,0.001781465,-0.012322357,0.158507608,12.81198347,2.747083922,133.5053454
I-5,6910.18027,6910.18027,6910.18027,NA,3.952124994,16510,40.12629264,440.3702492,9.469148688,0.523178255,74.32442732,1106.53,0.75,1.010129632,-0.02698274,0.000387704,5.467523211,5.464404616,0.073407022,2.664903716,47.48309527,0.001724985,-0.003960986,0.146471496,14.8069723,3.260458301,178.3099581,-0.02698274,0.000387704,5.467523211,5.464404616,0.073407022,2.664903716,47.48309527,0.001724985,-0.003960986,0.146471496,14.8069723,3.260458301,178.3099581,-0.02698274,0.000387704,5.467523211,5.464404616,0.073407022,2.664903716,47.48309527,0.001724985,-0.003960986,0.146471496,14.8069723,3.260458301,178.3099581
E-1,19477.41699,19477.41699,19477.41699,NA,3.995691168,46305,24.2450215,328.6942096,8.636891837,0.425540523,26.01407796,2530.02,0.14,1.087946561,-0.024277509,0.000248332,5.346591713,5.414823821,0.079263478,2.647611595,45.89920355,0.001832095,-0.004269012,0.15132461,15.68586545,3.243796718,198.5284647,-0.024277509,0.000248332,5.346591713,5.414823821,0.079263478,2.647611595,45.89920355,0.001832095,-0.004269012,0.15132461,15.68586545,3.243796718,198.5284647,-0.024277509,0.000248332,5.346591713,5.414823821,0.079263478,2.647611595,45.89920355,0.001832095,-0.004269012,0.15132461,15.68586545,3.243796718,198.5284647
D-5,5544.878769,5544.878769,5544.878769,NA,3.87837688,13631,46.98723497,425.8288895,11.56673506,0.388169167,92.96181938,850.44,2.925,0.677581135,-0.020903734,0.000218274,4.425684446,5.142092264,0.089335059,2.477804742,33.86649847,0.00302948,-0.005060636,0.160470896,13.3327436,3.071806635,137.7664443,-0.020903734,0.000218274,4.425684446,5.142092264,0.089335059,2.477804742,33.86649847,0.00302948,-0.005060636,0.160470896,13.3327436,3.071806635,137.7664443,-0.020903734,0.000218274,4.425684446,5.142092264,0.089335059,2.477804742,33.86649847,0.00302948,-0.005060636,0.160470896,13.3327436,3.071806635,137.7664443
I-9,7468.655735,10182.5703,7468.655735,0.368111963,15.60028683,10196,52.99712799,350.0451124,11.13403384,0.461357047,121.596503,1441.75,1.05,0.949431654,-0.039156838,0.000321654,4.632411575,4.711806499,0.114899737,2.477946886,38.70396622,0.003345265,-0.010512343,0.212775341,13.27372869,3.008588082,143.2021826,-0.025549675,0.001027749,4.820829051,5.222227774,0.155964352,2.555580138,39.57519699,0.005411365,-0.004722949,0.265752963,15.38814663,3.127473501,187.6271212,-0.050628812,0,4.311015119,4.13233963,0.084058725,2.298798394,38.1431481,0.002410077,-0.017568544,0.156267704,11.38546603,2.765620664,105.100252
C-5,9896.169397,9896.169397,9896.169397,NA,3.947198721,25050,34.77236413,468.6135459,11.24612464,0.481882639,52.47624032,4771.35,0.12,1.211223583,-0.027776923,0.000150801,4.718183145,5.077118492,0.096684188,2.541101818,38.32672428,0.002671808,-0.005479413,0.165863063,13.60281755,3.101404297,146.5347518,-0.027776923,0.000150801,4.718183145,5.077118492,0.096684188,2.541101818,38.32672428,0.002671808,-0.005479413,0.165863063,13.60281755,3.101404297,146.5347518,-0.027776923,0.000150801,4.718183145,5.077118492,0.096684188,2.541101818,38.32672428,0.002671808,-0.005479413,0.165863063,13.60281755,3.101404297,146.5347518
