Image,Name,Centroid X µm,Centroid Y µm
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,G-3,6267.6,10038.1
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,G-4,7815.8,10088.1
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,G-5,9264.1,10188
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,G-6,10662.4,10262.9
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,G-7,12035.8,10412.7
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,G-8,13559,10412.7
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,G-9,14982.3,10587.5
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,G-10,16405.6,10537.5
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,H-1,3271.1,11211.7
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,H-2,4719.4,11411.5
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,H-3,6217.7,11436.5
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,H-4,7665.9,11686.2
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,H-5,9089.3,11536.4
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,H-6,10512.6,11861
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,H-7,11890.1,11841.7
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,H-8,13334.2,11960.9
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,H-9,14857.4,11935.9
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,H-10,16255.8,12110.7
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,I-1,3321.1,12809.9
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,I-2,4744.4,12884.8
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,I-3,6242.6,13059.6
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,I-4,7715.9,13059.6
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,I-5,9014.3,13159.4
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,I-6,10537.5,13159.4
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,I-7,11805.6,13364.4
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,I-8,13184.4,13409.2
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,I-9,14607.7,13534
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,I-10,16155.9,13534
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,J-1,3121.3,14283.1
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,J-2,4594.6,14432.9
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,J-3,6117.8,14482.9
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,J-4,7566.1,14607.7
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,J-5,8939.4,14607.7
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,J-6,10262.9,14732.6
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,J-7,11611.3,14707.6
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,J-8,13159.4,14857.4
TMA_963_10_P16_-_2016-10-25_11.00.00.ndpi,J-9,14408,15057.2
