"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",NA,0.0914468729203657,0.0928811130327859,0.112452872379938,0.0912284870066601,0.042749035362921,0.00613960013568443,0.0674036479831427,0.318118169058351,NA
"2",NA,0.153517213201517,0.214705730519566,0.018514422079545,NA,0.019354969392143,0.0396602058357612,0.0908542415170444,NA,0.149402134784733
"3",NA,0.0225763629737281,0.045906280122086,0.0167436444923999,0.267049656702718,0.212529540341816,0.0285860402463208,0.404354812181903,NA,NA
"4",0.0583554182595048,0.144249099390952,0.0625274365444788,0.0388404416434124,0.0269431016165278,0.0125154286274444,NA,0.119938825946649,0.263963767869971,NA
"5",0.0879805142189395,0.0897068692709108,0.0512066218029321,0.0174206385973613,0.0303513859367774,0.296430543906426,NA,0.146346135086995,0.027512602306465,0.0413031930623118
"6",0.205121995935711,0.412681075912839,0.0832394470690374,0.00240673312259728,NA,0.0127047921944943,0.0332082846252763,0.0197329147477677,0.234168245158308,0.0666823285045638
"7",0.156431802268873,0.0253545683826863,0.0807470418527981,0.0218683534452441,NA,NA,0.0203361900911831,0.0514551637008347,NA,0.044853207464539
"8",0.0338584523594381,NA,0.0150726606577427,0.0204884413223474,0.0547586933255369,0.0612029598176875,0.0662285042415823,0.031121937695405,0.0295406273699051,NA
"9",0.0945049936776092,0.0296014613440442,0.0250453345801864,0.0557152362211644,NA,0.0891973445388368,0.117693628947961,0.185915910374057,0.0635049726481801,0.0719961284390282
"10",0.0406896982689143,0.0391773806607373,0.040847398488727,0.0107481226003387,0.122257250925755,NA,0.296305233394066,NA,0.386068078237784,0.0413265511960254
"11",NA,0.133991205655541,0.023096675755313,0.0619811754971977,0.0989799350655741,0.050735619487634,0.180616297415549,0.0776959239624071,0.0616688996634989,0.197831925052855
"12",NA,0.335458238615671,0.0339484178394327,0.104268743738431,NA,0.0166948379586462,0.0555921983715653,0.0153771394244831,NA,0.191271180752683
