Image	Name	Class	TMA core	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	J-13 - PathAnnotationObject		J-13	J-13	Polygon	19564.7	15973.8	645460.4	5059.8
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	H-8 - PathAnnotationObject		H-8	H-8	Polygon	12484.2	12946.8	1144768.7	5082.6
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	C-8 - PathAnnotationObject		C-8	C-8	Polygon	12563.4	4974.6	1114945.6	6286.6
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	B-13 - PathAnnotationObject		B-13	B-13	Geometry	20098.7	3816.7	337539.3	37116.7
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	H-2 - PathAnnotationObject		H-2	H-2	Geometry	3827.9	12711	842532	10762.8
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	D-12 - PathAnnotationObject		D-12	D-12	Polygon	18557.5	6815.2	1359176.8	5343.2
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	J-6 - PathAnnotationObject		J-6	J-6	Polygon	9512.4	15970.2	1092839.9	5595.7
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	I-5 - PathAnnotationObject		I-5	I-5	Geometry	8014.7	14614.1	317633	4957
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	B-8 - PathAnnotationObject		B-8	B-8	Polygon	12628.4	3450.4	1324491.1	6329.1
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	G-4 - PathAnnotationObject		G-4	G-4	Geometry	6613	11130.1	847163	8260.1
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	F-8 - PathAnnotationObject		F-8	F-8	Polygon	12507.2	9778.3	1296223.2	6128.9
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	J-3 - PathAnnotationObject		J-3	J-3	Polygon	5282.7	15708.3	872885.2	6480.5
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	B-11 - PathAnnotationObject		B-11	B-11	Polygon	17035.8	3596.3	1184268.3	5288.4
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	E-11 - PathAnnotationObject		E-11	E-11	Polygon	16966	8359.2	1295768.4	4424.8
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	F-1 - PathAnnotationObject		F-1	F-1	Geometry	2512.8	9465.2	1007404.8	9603
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	F-7 - PathAnnotationObject		F-7	F-7	Geometry	11043	9622.1	1231641.6	7098.5
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	A-6 - PathAnnotationObject		A-6	A-6	Polygon	9801.9	1796.2	1294850.3	9659.8
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	I-3 - PathAnnotationObject		I-3	I-3	Polygon	5232.7	14195.5	994193.5	7203.4
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	C-2 - PathAnnotationObject		C-2	C-2	Geometry	3868.3	4822.6	1180369.5	6953.7
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	D-7 - PathAnnotationObject		D-7	D-7	Geometry	11125.4	6443.8	1306168.6	7064.8
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	D-13 - PathAnnotationObject		D-13	D-13	Polygon	20013.6	6971.6	1228507.3	5146.7
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	G-1 - PathAnnotationObject		G-1	G-1	Geometry	2456.6	11150.3	841134.1	28883.1
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	B-12 - PathAnnotationObject		B-12	B-12	Polygon	18571.8	3862.2	1152763.4	4718.7
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	E-10 - PathAnnotationObject		E-10	E-10	Polygon	15473.5	8291.6	1099035.1	7204.5
TMA_1042_133_P53_-_2016-10-25_11.53.46.ndpi	I-8 - PathAnnotationObject		I-8	I-8	Geometry	12383.1	14313.5	949761.6	7358.9
