"","TMA.core","H&E","P16","P53","P63","uv-GATA3","Ki67","CK20","CK5-6","Her2Neu","Cyclin","Mean","CoV","QCoD"
"35","D-9","0.0767475399392","0.0789311122316","0.0720853196888","0.091692145412","0.0992317037992","0.0750857503008","0.095241875164","0.0940607480376","0.0933784216312","0.074356450058",0.08508110662624,0.123131645526978,0.108559068629419
"5","A-3","0.1162533195924","0.1119373329988","0.1103944310692","0.1126374059928","0.1226129051028","0.1147898341576","0.1031800412836","0.1021788946484","0.1277488829792","0.1171811507664",0.11389141985912,0.0689399578584441,0.0270893340457915
"66","G-4","0.148163600976","0.1448029620424","0.1331872330276","0.107785373518","0.105482645566","0.144506484788","0.1108246157728","0.110650385918","0.1023238560312","0.1397329618976",0.12474601195376,0.150943619304044,0.138242418753363
"79","H-6","0.2018396701248","0.2039067044308","0.1928424181624","0.0724039338016","0.0612061874232","0.184127339004","0.0752341538208","0.0714210078208","0.0656035486136","0.183911535552",0.1312496498754,0.501680314702471,0.453614657856431
"38","E-11","0.1416828604808","0.1281394521876","0.124564246498","0.1384017411","0.1513892751528","0.12024549795","0.1586463103388","0.1366518574832","0.1407965204576","0.1160535931884",0.13565713548372,0.0997695553815687,0.0599552979193405
"14","C-13","0.1337392528988","0.1330054387156","0.133153615508","0.1387525299204","0.1356214835992","0.1321594768168","0.138219637614","0.1389701884164","0.1436879363172","0.1325906508772",0.13599002106836,0.0278533605957685,0.0205285547705409
"114","L-10","0.1469635730124","0.1410992636384","0.1397313129696","0.1295675681168","0.1396621198284","0.13703776847","0.1326077378936","0.1360784221596","0.1241294241844","0.1333516517608",0.1360228842034,0.0474817436717624,0.0253948697065217
"10","C-1","0.1337288234292","0.1329577228616","0.1316058492408","0.1404084452528","0.1431114092536","0.1322924010252","0.1432491565764","0.145089586952","0.1470200900196","0.130997436032",0.13804609206432,0.0456394249735246,0.0390171349958036
"121","L-9","0.1454360885596","0.1455176692724","0.1503447617112","0.1307690388924","0.1376705239784","0.1480796705408","0.1374172692492","0.1350027645904","0.12734774002","0.148913347926",0.14064988747404,0.0575597993193414,0.0418052112447235
"117","L-3","0.2018897150896","0.2071093554504","0.2062334655084","0.0906102219164","0.0848116223232","0.2110502521472","0.096648204632","0.0930999383036","0.0853450299196","0.2157087829212",0.14925065882116,0.418997390298784,0.387953021973459
