Image	Name	Class	TMA core	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	G-1 - PathAnnotationObject		G-1	G-1	Geometry	1471.5	11589	840530.2	31713.9
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	I-1 - PathAnnotationObject		I-1	I-1	Polygon	1659.1	14614.7	1127870	6215.5
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	A-7 - PathAnnotationObject		A-7	A-7	Geometry	9961.4	1583.4	638935.3	8684.6
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	C-6 - PathAnnotationObject		C-6	C-6	Geometry	8617.2	4992.2	782141.6	10764.6
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	A-13 - PathAnnotationObject		A-13	A-13	Geometry	18942.2	1915.2	1023747	7926.4
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	E-4 - PathAnnotationObject		E-4	E-4	Geometry	5584	8142.5	874966.5	9918.4
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	G-8 - PathAnnotationObject		G-8	G-8	Polygon	11503.3	11114.9	1221899.6	5733.7
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	I-11 - PathAnnotationObject		I-11	I-11	Polygon	16042.9	14338.9	1092179.8	7005.7
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	C-13 - PathAnnotationObject		C-13	C-13	Geometry	18991.8	5027.8	1117856.3	10566.1
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	F-11 - PathAnnotationObject		F-11	F-11	Polygon	16020.4	9534.4	1134876.6	4985
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	F-9 - PathAnnotationObject		F-9	F-9	Polygon	13070.3	9513.8	1295445.3	5744.9
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	H-8 - PathAnnotationObject		H-8	H-8	Polygon	11673.6	12833.2	1184040.9	5005.4
TMA_1042_512_Ki67_-_2016-10-25_11.55.56.ndpi	F-8 - PathAnnotationObject		F-8	F-8	Polygon	11549.4	9659	1310226.8	5428.6
