Image	Name	Class	TMA core	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	K-7 - PathAnnotationObject		K-7	K-7	Geometry	10652.2	17219.1	840208	22671.1
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	E-9 - PathAnnotationObject		E-9	E-9	Polygon	13729.1	7773.7	1217825.8	8764.6
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	B-1 - PathAnnotationObject		B-1	B-1	Geometry	1509	3490.4	399412.8	38536.2
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	F-2 - PathAnnotationObject		F-2	F-2	Polygon	2977.7	9558.6	961876	8727.8
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	E-11 - PathAnnotationObject		E-11	E-11	Polygon	16852.5	7800.6	1393100	5065.6
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	G-7 - PathAnnotationObject		G-7	G-7	Polygon	10658	11087.1	1009710	8368.5
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	F-1 - PathAnnotationObject		F-1	F-1	Polygon	1555.8	9487.5	1183066.3	10682.9
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	L-2 - PathAnnotationObject		L-2	L-2	Polygon	3267.1	18600.3	1076442.3	9903
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	C-7 - PathAnnotationObject		C-7	C-7	Polygon	10620.1	4818.3	1110406.3	7481.3
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	G-11 - PathAnnotationObject		G-11	G-11	Geometry	16900.2	11040.8	687113.5	13401.2
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	B-9 - PathAnnotationObject		B-9	B-9	Polygon	13626.1	3050.4	1323873.6	4468.3
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	J-8 - PathAnnotationObject		J-8	J-8	Polygon	12291.9	15667.1	1248576.1	7570.3
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	K-13 - PathAnnotationObject		K-13	K-13	Geometry	19955.8	17268.4	186974	14109
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	I-12 - PathAnnotationObject		I-12	I-12	Geometry	18357.1	13758.6	735800.4	7731
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	A-10 - PathAnnotationObject		A-10	A-10	Polygon	15175.7	1578.6	1331859	6619.3
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	D-13 - PathAnnotationObject		D-13	D-13	Polygon	19948.5	6205.7	1206953.5	5005
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	K-10 - PathAnnotationObject		K-10	K-10	Geometry	15362.5	17139.8	815016.1	19079.6
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	H-5 - PathAnnotationObject		H-5	H-5	Geometry	7683.3	12409.2	906247.5	19810.3
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	E-12 - PathAnnotationObject		E-12	E-12	Polygon	18482.8	7774.2	1428139.8	4596.2
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	H-4 - PathAnnotationObject		H-4	H-4	Polygon	6129.6	12560	1291684.6	9154.3
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	C-10 - PathAnnotationObject		C-10	C-10	Geometry	15166.6	4680.1	707015.3	11276.6
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	F-11 - PathAnnotationObject		F-11	F-11	Polygon	16836.4	9311.1	1211942.2	6350.5
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	A-6 - PathAnnotationObject		A-6	A-6	Polygon	9048.9	1674.4	1334186	8345.4
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	K-4 - PathAnnotationObject		K-4	K-4	Geometry	6208.5	17254	897555	9709.1
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	G-5 - PathAnnotationObject		G-5	G-5	Geometry	7774.5	11156.6	822194.5	14738.8
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	H-11 - PathAnnotationObject		H-11	H-11	Geometry	16897.3	12378	1154170.4	7055.3
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	J-4 - PathAnnotationObject		J-4	J-4	Polygon	6119.7	15715.3	961726.8	15285.6
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	G-9 - PathAnnotationObject		G-9	G-9	Polygon	13774.2	11001.2	1197811.6	5173.8
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	F-8 - PathAnnotationObject		F-8	F-8	Polygon	12216.4	9438.7	1336626.1	8005.6
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	D-10 - PathAnnotationObject		D-10	D-10	Polygon	15291.4	6261.7	1427452.8	5495.7
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	H-9 - PathAnnotationObject		H-9	H-9	Polygon	13793.9	12453.5	1188079	11424.2
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	L-3 - PathAnnotationObject		L-3	L-3	Polygon	4754.8	18731.3	1273843.6	6199.2
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	H-3 - PathAnnotationObject		H-3	H-3	Geometry	4637.7	12452.9	544351.9	20087.5
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	E-4 - PathAnnotationObject		E-4	E-4	Geometry	6148.6	7855.4	798806.7	9909.4
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	D-2 - PathAnnotationObject		D-2	D-2	Polygon	3043.1	6537.2	867284.5	4437.1
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	D-1 - PathAnnotationObject		D-1	D-1	Polygon	1418.9	6533.3	1240239.6	5434.5
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	I-2 - PathAnnotationObject		I-2	I-2	Polygon	3024.5	14004.1	1218477.6	11246.7
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	D-8 - PathAnnotationObject		D-8	D-8	Polygon	12202.4	6265.7	1197524.4	5428.3
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	H-2 - PathAnnotationObject		H-2	H-2	Geometry	3065.4	12592	782803.2	17296.4
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	J-13 - PathAnnotationObject		J-13	J-13	Polygon	19909	15222.1	650804.6	8234.2
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	A-11 - PathAnnotationObject		A-11	A-11	Polygon	16586.7	1918.4	411954.2	6426.9
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	I-3 - PathAnnotationObject		I-3	I-3	Polygon	4588.3	14066.3	1192204.9	4787.9
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	G-8 - PathAnnotationObject		G-8	G-8	Polygon	12188.1	10902.5	1151609.4	8332.4
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	E-2 - PathAnnotationObject		E-2	E-2	Polygon	2912.1	7971.1	1181109.5	8228.7
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	H-6 - PathAnnotationObject		H-6	H-6	Polygon	9220.3	12602.5	1206965.6	6705.6
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	L-9 - PathAnnotationObject		L-9	L-9	Polygon	13897.1	18754.5	1364618.1	4699.7
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	F-6 - PathAnnotationObject		F-6	F-6	Geometry	9321.6	9606.2	1103345.9	25869.5
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	J-2 - PathAnnotationObject		J-2	J-2	Geometry	3136	15596.7	970673.6	10991.9
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	G-12 - PathAnnotationObject		G-12	G-12	Geometry	18558.5	10787.2	620243.8	14003.7
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	B-10 - PathAnnotationObject		B-10	B-10	Polygon	15468.9	3224.3	373712.6	7639.7
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	K-9 - PathAnnotationObject		K-9	K-9	Geometry	13882.7	17251.6	1010276.6	10820.6
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	E-10 - PathAnnotationObject		E-10	E-10	Polygon	15264	7847.9	1355398.1	5233.5
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	K-5 - PathAnnotationObject		K-5	K-5	Geometry	7704.3	17304.4	1112487.9	11074.9
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	J-11 - PathAnnotationObject		J-11	J-11	Geometry	16796.3	15516.3	734089.6	8093.9
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	I-6 - PathAnnotationObject		I-6	I-6	Polygon	9139.3	14042.6	1087864.5	7467.1
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	A-5 - PathAnnotationObject		A-5	A-5	Geometry	7536.9	1782.4	616905.5	8978.5
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	G-1 - PathAnnotationObject		G-1	G-1	Geometry	1629.8	11173.1	749342	28023.5
TMA_1042_55_P63_-_2016-10-25_12.03.37.ndpi	D-7 - PathAnnotationObject		D-7	D-7	Polygon	10674	6279.2	1361485.4	4528.4
