Image,TMA core,Area µm^2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,G-8,1191137.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,G-7,1322911.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,G-6,1312255.7
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,G-5,1298201.7
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,G-4,596832.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,G-3,1130287.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,G-2,1142510.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,G-1,864863.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,F-13,893710.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,F-12,480896.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,F-10,899653
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,F-9,948398.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,F-8,1049317.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,F-7,1027439.7
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,F-6,1208034.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,F-5,1145116.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,F-4,1154249
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,F-3,730241.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,F-2,1020675.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,F-1,493450.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,E-13,1051957.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,E-12,903164.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,E-11,650996.7
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,E-10,1242480.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,E-9,766910
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,E-8,1110003.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi,E-7,1348073.9
