Image	Name	Class	TMA core	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	E-12 - PathAnnotationObject		E-12	E-12	Polygon	18848.6	8369.1	1434966.5	6085.4
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	B-9 - PathAnnotationObject		B-9	B-9	Polygon	14008.5	3517.8	1363319.6	4606.1
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	A-6 - PathAnnotationObject		A-6	A-6	Geometry	9379.6	2071.5	1300598	13509.5
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	F-11 - PathAnnotationObject		F-11	F-11	Polygon	17174.6	9904.3	1243862.8	6182.2
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	B-7 - PathAnnotationObject		B-7	B-7	Geometry	11247.1	3467.8	603020.8	6194.7
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	E-6 - PathAnnotationObject		E-6	E-6	Geometry	9608.7	8405.5	273947.3	12779.5
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	I-12 - PathAnnotationObject		I-12	I-12	Geometry	18606.3	14421.2	762292.1	9158.3
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	C-10 - PathAnnotationObject		C-10	C-10	Polygon	15549.3	5174.1	747958.6	10459.4
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	G-11 - PathAnnotationObject		G-11	G-11	Geometry	17177.3	11630.4	775421.8	13520.6
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	J-13 - PathAnnotationObject		J-13	J-13	Geometry	20138.1	15899.8	634908.4	9739.8
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	F-8 - PathAnnotationObject		F-8	F-8	Polygon	12500.2	9943.1	1347132.8	9544
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	I-10 - PathAnnotationObject		I-10	I-10	Geometry	15612.2	14516.4	1098508.6	12652.2
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	D-5 - PathAnnotationObject		D-5	D-5	Geometry	7907.1	6728.3	1274984.2	11783.6
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	F-10 - PathAnnotationObject		F-10	F-10	Geometry	15859.2	10074.2	491096.7	13375.6
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	I-5 - PathAnnotationObject		I-5	I-5	Polygon	7759.7	14835.1	455269.6	3664
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	C-4 - PathAnnotationObject		C-4	C-4	Geometry	6364.1	5076	869794.3	15802.6
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	D-10 - PathAnnotationObject		D-10	D-10	Polygon	15636.7	6768.2	1407660.7	9634.8
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	A-12 - PathAnnotationObject		A-12	A-12	Polygon	18644.5	2112.6	1431044.5	4646
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	F-12 - PathAnnotationObject		F-12	F-12	Polygon	18685	10027.9	1217888	10508
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	K-13 - PathAnnotationObject		K-13	K-13	Geometry	20092.6	17958.5	383289	13623.5
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	F-4 - PathAnnotationObject		F-4	F-4	Polygon	6308.4	9884.2	1258056.1	6621.9
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	G-9 - PathAnnotationObject		G-9	G-9	Geometry	14035.4	11593	1058508.5	15658.8
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	I-8 - PathAnnotationObject		I-8	I-8	Geometry	12428	14472.1	970655.4	10871.5
TMA_1042_321_Her2Neu_4B_-_2016-10-25_12.05.27.ndpi	G-8 - PathAnnotationObject		G-8	G-8	Polygon	12442	11408.9	1198828.6	7297.1
