"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"1",0.0927808133702742,0.0847363643822829,0.0689399578584441,0.0856768831591328,0.078201439976589,0.122781395367706,0.0766258719456642,NA,NA,NA,0.102834493615713,0.0147931717337915,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",0.0456394249735246,0.0339157582422729,0.182679854795902,0.0621172582787535,0.0450423127521897,0.0430708626600493,0.0526068240203583,0.041525471971887,0.157222677005038,0.0304443265165807,0.110229046685561,0.0666222772112369,0.0278533605957685
"4",0.0211251717437248,0.0535445858918042,0.0551901811340872,0.0523703890259542,0.0190617322267452,0.0362770458472591,0.0191622602140985,0.0471487335719027,0.123131645526978,0.0211962935238784,0.070114998382582,0.0540203606685376,0.0329065773036961
"5",0.0463969377514512,0.0478183439705987,0.0356677965346731,0.0241435185630791,0.0297372787970859,0.0264817397170316,0.0313139788078629,0.0576863194462095,0.228598272635328,0.0530885794811359,0.0997695553815687,0.208623540619094,0.047969319121201
"6",NA,0.187316982465159,0.0424070930215125,0.0725670390889341,0.0283343423745968,0.00888400419307236,0.0648331188956534,0.182631807121498,0.0925090285544439,0.0306665396365243,NA,NA,0.0764927490837717
"7",0.129402008060764,0.0531520151716079,0.0490760959112637,0.150943619304044,0.0419892761634431,0.0275500799702901,0.0955135885143962,0.0796085884607826,0.0476374534676116,0.0426552142358199,0.00955895561189704,0.0243813020262999,0.124228468286231
"8",NA,0.042346389495679,0.0407484128539233,0.113506974407676,0.0350133273378479,0.501680314702471,0.024938754708805,NA,0.13036167467948,0.0764982078177321,0.0559670716490483,0.200087687933825,NA
"9",0.193062941952315,0.0195955903799669,0.0119202005076476,0.0199136443268007,0.0276844561673777,0.0117069173971587,0.0370817589331446,0.0135184887106323,0.043450939136583,0.0554307935051863,0.0344739780574302,0.183671264840959,0.0533346897674768
"10",0.0560413523068245,NA,0.0627410642998632,0.0397272876669484,NA,NA,NA,0.0794967284659424,0.279819407258416,0.0418054067550688,0.0831098601073647,0.379009957228954,0.0449734135579743
"11",0.179303268733979,0.24741379269721,0.0298592280715187,0.552744958468239,0.0208163645057623,0.0170652387359113,0.275243581821735,0.124057992138018,NA,NA,NA,NA,0.057255103082228
"12",0.0697956856869903,0.0271420690209175,0.418997390298784,0.0187399458137533,NA,0.01392378466849,NA,0.0513936148294696,0.0575597993193414,0.0474817436717624,NA,NA,0.0494023704325055
