Image	Name	Class	TMA core	Parent	ROI	Centroid X µm	Centroid Y µm	Num Detections	Num overstaining	Area µm^2	Perimeter µm
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	E-3 - PathAnnotationObject		E-3	E-3	Geometry	5310.7	7826.9	2310	0	1194514.6	6952.5
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	I-2 - PathAnnotationObject		I-2	I-2	Polygon	3767.4	13958.4	9566	0	1182931.3	6170
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	E-9 - PathAnnotationObject		E-9	E-9	Geometry	14267.9	7995.4	5765	0	1191094.9	8017.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	K-7 - PathAnnotationObject		K-7	K-7	Geometry	11137.1	17404.5	3721	0	784715.5	21572.5
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	J-1 - PathAnnotationObject		J-1	J-1	Polygon	2808.3	15524	4807	0	646595.6	5223.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	A-3 - PathAnnotationObject		A-3	A-3	Geometry	5386.2	1578.4	4623	0	822452.8	13671.7
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	F-11 - PathAnnotationObject		F-11	F-11	Polygon	17231	9590.8	7424	0	1130287.1	5981.5
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	A-4 - PathAnnotationObject		A-4	A-4	Polygon	7032.5	1511.9	2710	0	681835.5	9208.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	J-5 - PathAnnotationObject		J-5	J-5	Geometry	8303.5	15719	3172	0	604391.4	18491.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	F-4 - PathAnnotationObject		F-4	F-4	Polygon	6807.5	9419.8	4451	0	1179449.5	5317.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	I-1 - PathAnnotationObject		I-1	I-1	Polygon	2279.4	13960	3170	0	1084847.6	5534
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	H-12 - PathAnnotationObject		H-12	H-12	Polygon	18640.8	12805.4	6210	0	1147421.3	6250.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	A-13 - PathAnnotationObject		A-13	A-13	Geometry	20499.8	2174.1	7097	0	957209.7	8656.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	K-8 - PathAnnotationObject		K-8	K-8	Geometry	12486.2	17269.3	6204	0	1228810.3	13438
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	L-10 - PathAnnotationObject		L-10	L-10	Polygon	15699.6	18972.1	5105	0	1060815.3	5074.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	G-11 - PathAnnotationObject		G-11	G-11	Geometry	17223.5	11195.5	4754	0	730241.4	15694.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	F-12 - PathAnnotationObject		F-12	F-12	Polygon	18683.5	9788.9	4340	0	1142510.2	4599.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	G-2 - PathAnnotationObject		G-2	G-2	Geometry	3736.2	10774.5	3305	0	480896.4	6751.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	B-5 - PathAnnotationObject		B-5	B-5	Polygon	8479	3118.8	3599	0	448715.6	3798.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	A-12 - PathAnnotationObject		A-12	A-12	Polygon	18972.7	1953.5	5868	0	1317537.7	9913.2
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	D-11 - PathAnnotationObject		D-11	D-11	Polygon	17382.8	6544	6390	0	1361260.2	4577.9
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	H-7 - PathAnnotationObject		H-7	H-7	Polygon	11252.3	12561.3	5737	0	1348073.9	6489.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	H-3 - PathAnnotationObject		H-3	H-3	Geometry	5305.3	12537.7	3436	0	650996.7	14733.7
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	D-6 - PathAnnotationObject		D-6	D-6	Polygon	9932.1	6211.1	5157	0	1063199.6	5190.4
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	L-4 - PathAnnotationObject		L-4	L-4	Geometry	6888.1	18727.8	3725	0	857682.9	12935.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	I-9 - PathAnnotationObject		I-9	I-9	Polygon	14120	14329.1	6320	0	1254058.3	6918.1
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	J-12 - PathAnnotationObject		J-12	J-12	Polygon	18622.9	15906.2	6535	0	1032949	5586
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	C-5 - PathAnnotationObject		C-5	C-5	Polygon	8396.9	4722	12203	0	1153696	8706.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	J-10 - PathAnnotationObject		J-10	J-10	Polygon	15670.6	15913	5937	0	1020666.5	6681.3
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	E-4 - PathAnnotationObject		E-4	E-4	Geometry	6958.6	7804.5	4687	0	842770.3	14165.6
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	F-6 - PathAnnotationObject		F-6	F-6	Geometry	9911	9582.8	1306	0	1191137.9	16438.8
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	H-9 - PathAnnotationObject		H-9	H-9	Polygon	14175.4	12637.4	5623	0	1174168.5	9596
TMA_1042_BladderNeoadj_HE_-_2016-10-25_11.45.16.ndpi	I-8 - PathAnnotationObject		I-8	I-8	Geometry	12592.5	14105.1	5304	0	923471.3	6320.1
